All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser South West,Genral Movie Purchaser South West Male,Genral Movie Purchaser South West Female,Movie Purchaser South West 18-24,"Movie Purchaser South West 18-24 male
","Movie Purchaser South West 18-24 Female
",Movie Purchaser South West 25-34,Movie Purchaser South West 25-34 male,Movie Purchaser South West 25-34 Female,Movie Purchaser South West 35-44,Movie Purchaser South West 35-44 Male,Movie Purchaser South West 35-44 Female,Movie Purchaser South West 45-54,Movie Purchaser South West 45-54 Male,Movie Purchaser South West 45-54 Female,Movie Purchaser South West 55+,Movie Purchaser South West 55+ Male,Movie Purchaser South West 55+ Female
,Index,100,96,94,92,96,91,96,90,100,107,96,97,94,98,91,67,124,88,104,67
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,18677,5026,961,358,603,142,42,100,234,89,145,220,84,136,176,71,105,189,72,117
,(000s),180654,52077,6286,2565,3721,745,113*,632,1803,701,1103,1903,734,1169,1149,649,500,686,368,318
,Vert%,76.32,88.46,86.1,81.15,89.88,99.2,94.17,100,90.88,89.87,91.69,97.34,95.32,98.65,77.95,74.6,82.78,60.33,59.26,61.63
,Horz%,100,28.83,3.48,1.42,2.06,0.41,0.06,0.35,1,0.39,0.61,1.05,0.41,0.65,0.64,0.36,0.28,0.38,0.2,0.18
,Index,100,116,113,106,118,130,123,131,119,118,120,128,125,129,102,98,108,79,78,81
RADIO,Unwgt,17587,4436,876,330,546,104,25,79,207,75,132,184,67,117,167,68,99,214,95,119
,(000s),168104,45701,6001,2499,3502,704,101#,603,1473,588,886,1614,565,1049,1266,713,553,944,533,411
,Vert%,71.02,77.63,82.19,79.06,84.59,93.74,84.17,95.41,74.24,75.38,73.65,82.56,73.38,88.52,85.89,81.95,91.56,83.03,85.83,79.65
,Horz%,100,27.19,3.57,1.49,2.08,0.42,0.06,0.36,0.88,0.35,0.53,0.96,0.34,0.62,0.75,0.42,0.33,0.56,0.32,0.24
,Index,100,109,116,111,119,132,119,134,105,106,104,116,103,125,121,115,129,117,121,112
Digital Music,Unwgt,9222,2836,557,209,348,112,28,84,149,62,87,131,52,79,94,38,56,71,29,42
,(000s),91298,30136,4022,1715,2307,554,105#,450,1160,567,593,1266,455*,812,831,506*,325*,210,83#,127*
,Vert%,38.57,51.19,55.09,54.25,55.72,73.77,87.5,71.2,58.47,72.69,49.29,64.76,59.09,68.52,56.38,58.16,53.81,18.47,13.37,24.61
,Horz%,100,33.01,4.41,1.88,2.53,0.61,0.12,0.49,1.27,0.62,0.65,1.39,0.5,0.89,0.91,0.55,0.36,0.23,0.09,0.14
