All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser South West,Genral Movie Purchaser South West Male,Genral Movie Purchaser South West Female,Movie Purchaser South West 18-24,"Movie Purchaser South West 18-24 male
","Movie Purchaser South West 18-24 Female
",Movie Purchaser South West 25-34,Movie Purchaser South West 25-34 male,Movie Purchaser South West 25-34 Female,Movie Purchaser South West 35-44,Movie Purchaser South West 35-44 Male,Movie Purchaser South West 35-44 Female,Movie Purchaser South West 45-54,Movie Purchaser South West 45-54 Male,Movie Purchaser South West 45-54 Female,Movie Purchaser South West 55+,Movie Purchaser South West 55+ Male,Movie Purchaser South West 55+ Female
,Index,100,122,117,117,116,128,149,107,135,162,110,98,103,91,117,92,141,103,77,128
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,15702,4970,904,358,546,129,48,81,212,76,136,237,106,131,161,64,97,165,64,101
,(000s),159830,54775,6831,3365,3466,1011,498*,513,2043,955,1088,1448,866,582,1244,543,701,1085,504,581
,Vert%,68.98,84.18,87.17,84.25,90.21,98.35,99.01,97.71,94.98,92.36,97.4,91.41,92.13,90.37,85.26,77.68,92.24,67.18,61.54,72.99
,Horz%,100,34.27,4.27,2.11,2.17,0.63,0.31,0.32,1.28,0.6,0.68,0.91,0.54,0.36,0.78,0.34,0.44,0.68,0.32,0.36
,Index,100,122,126,122,131,143,144,142,138,134,141,133,134,131,124,113,134,97,89,106
,,,,,,,,,,,,,,,,,,,,,
* Proj relatively unstable due to small base-use with caution.,,,,,,,,,,,,,,,,,,,,,
# Proj too small for reliability-shown for consistency only.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source: Simmons Fall 2013 NCS Adult Full Year Study,,,,,,,,,,,,,,,,,,,,,
Weighted by: Population,,,,,,,,,,,,,,,,,,,,,
"(C) 2013 SMRB, Inc.  All Rights Reserved",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Thursday, July 19, 2018 / 6:44 PM",,,,,,,,,,,,,,,,,,,,,
