All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser South,Genral Movie Purchaser South Male,Genral Movie Purchaser South Female,Movie Purchaser South 18-24,"Movie Purchaser South 18-24 male
","Movie Purchaser South 18-24 Female
",Movie Purchaser South 25-34,Movie Purchaser South 25-34 male,Movie Purchaser South 25-34 Female,Movie Purchaser South 35-44,Movie Purchaser South 35-44 Male,Movie Purchaser South 35-44 Female,Movie Purchaser South 45-54,Movie Purchaser South 45-54 Male,Movie Purchaser South 45-54 Female,Movie Purchaser South 55+,Movie Purchaser South 55+ Male,Movie Purchaser South 55+ Female
,Horz%,100,34.2,10.79,5.34,5.45,1.55,0.75,0.8,3.12,1.94,1.18,2.46,1.29,1.18,1.7,0.47,1.22,1.96,0.89,1.07
,Index,100,122,119,115,124,129,119,140,137,164,108,132,122,146,95,61,122,103,90,118
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,15702,4970,1684,683,1001,203,74,129,371,144,227,406,173,233,336,127,209,368,165,203
,(000s),159830,54775,18239,9308,8931,2659,1446,1213,5132,2629,2503,3718,2088,1630,3567,1488,2079,3162,1657,1505
,Vert%,68.98,84.18,87.11,86.42,87.85,95.3,98.7,91.55,97.27,95.81,98.85,86.08,85.4,86.93,86.14,82.26,89.19,71.67,71.79,71.56
,Horz%,100,34.27,11.41,5.82,5.59,1.66,0.9,0.76,3.21,1.64,1.57,2.33,1.31,1.02,2.23,0.93,1.3,1.98,1.04,0.94
,Index,100,122,126,125,127,138,143,133,141,139,143,125,124,126,125,119,129,104,104,104
,,,,,,,,,,,,,,,,,,,,,
* Proj relatively unstable due to small base-use with caution.,,,,,,,,,,,,,,,,,,,,,
# Proj too small for reliability-shown for consistency only.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source: Simmons Fall 2013 NCS Adult Full Year Study,,,,,,,,,,,,,,,,,,,,,
Weighted by: Population,,,,,,,,,,,,,,,,,,,,,
"(C) 2013 SMRB, Inc.  All Rights Reserved",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Thursday, July 19, 2018 / 6:44 PM",,,,,,,,,,,,,,,,,,,,,
