All Respondents and VIDEO GAMES-DO YOU OWN OR PLAY? [YES],,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser South,Genral Movie Purchaser South Male,Genral Movie Purchaser South Female,Movie Purchaser South 18-24,"Movie Purchaser South 18-24 male
","Movie Purchaser South 18-24 Female
",Movie Purchaser South 25-34,Movie Purchaser South 25-34 male,Movie Purchaser South 25-34 Female,Movie Purchaser South 35-44,Movie Purchaser South 35-44 Male,Movie Purchaser South 35-44 Female,Movie Purchaser South 45-54,Movie Purchaser South 45-54 Male,Movie Purchaser South 45-54 Female,Movie Purchaser South 55+,Movie Purchaser South 55+ Male,Movie Purchaser South 55+ Female
TABLET OWNER,Unwgt,2876,1107,401,187,214,40,17,23,109,51,58,102,51,51,80,35,45,70,33,37
,(000s),33165,12938,4522,2274,2248,611*,377#,234#,1199,620*,579*,1354,665*,689*,816,354*,461*,543,257*,285*
,Vert%,46.34,56.04,59.38,53.75,66.41,42.2,36.5,56.39,54.38,50,60.06,66.9,63.51,70.52,71.52,61.67,81.31,67.96,76.26,61.56
,Horz%,100,39.01,13.63,6.86,6.78,1.84,1.14,0.71,3.62,1.87,1.75,4.08,2.01,2.08,2.46,1.07,1.39,1.64,0.77,0.86
,Index,100,121,128,116,143,91,79,122,117,108,130,144,137,152,154,133,175,147,165,133
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,2863,1007,338,167,171,53,30,23,91,47,44,80,40,40,66,33,33,48,17,31
,(000s),32744,12012,3188,1594,1594,694*,491#,203#,780,379*,401*,968,409*,559*,533,269*,264*,214*,47#,167*
,Vert%,45.75,52.03,41.86,37.67,47.09,47.93,47.53,48.92,35.37,30.56,41.6,47.83,39.06,57.22,46.71,46.86,46.56,26.78,13.95,36.07
,Horz%,100,36.68,9.74,4.87,4.87,2.12,1.5,0.62,2.38,1.16,1.22,2.96,1.25,1.71,1.63,0.82,0.81,0.65,0.14,0.51
,Index,100,114,91,82,103,105,104,107,77,67,91,105,85,125,102,102,102,59,30,79
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,5434,1779,656,334,322,96,57,39,187,99,88,151,79,72,113,52,61,109,47,62
,(000s),65448,22299,7378,4065,3313,1427,1012*,414*,2203,1239,964,2004,1028,977,984,472*,512,760,314*,446
,Vert%,91.44,96.58,96.88,96.08,97.87,98.55,97.97,99.76,99.91,99.92,100,99.01,98.19,100,86.24,82.23,90.3,95.12,93.18,96.33
,Horz%,100,34.07,11.27,6.21,5.06,2.18,1.55,0.63,3.37,1.89,1.47,3.06,1.57,1.49,1.5,0.72,0.78,1.16,0.48,0.68
,Index,100,106,106,105,107,108,107,109,109,109,109,108,107,109,94,90,99,104,102,105
,,,,,,,,,,,,,,,,,,,,,
* Proj relatively unstable due to small base-use with caution.,,,,,,,,,,,,,,,,,,,,,
# Proj too small for reliability-shown for consistency only.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source: Simmons Fall 2017 NCS Adult Full Year Study,,,,,,,,,,,,,,,,,,,,,
Weighted by: Population,,,,,,,,,,,,,,,,,,,,,
(C) 2017 Simmons Research LLC.  All Rights Reserved,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Thursday, July 19, 2018 / 7:08 PM",,,,,,,,,,,,,,,,,,,,,
