All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser East Central,GenralMovie Purchaser East Central Male,Genral Movie Purchaser East Central Female,Movie Purchaser EC 18-24,"Movie Purchaser EC 18-24 male
","Movie Purchaser EC 18-24 Female
",Movie Purchaser EC 25-34,Movie Purchaser EC 25-34 male,Movie Purchaser EC 25-34 Female,Movie Purchaser EC 35-44,Movie Purchaser EC 35-44 Male,Movie Purchaser EC 35-44 Female,Movie Purchaser EC 45-54,Movie Purchaser EC 45-54 Male,Movie Purchaser EC 45-54 Female,Movie Purchaser EC 55+,Movie Purchaser EC 55+ Male,Movie Purchaser EC 55+ Female
Totals,Unwgt,23689,6041,702,295,407,71,31,40,124,51,73,137,71,66,165,64,101,205,78,127
,(000s),231709,65066,8005,3795,4209,1277,490*,787*,1840,980*,859,1610,889,722,1515,702,813,1763,734,1029
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,28.08,3.45,1.64,1.82,0.55,0.21,0.34,0.79,0.42,0.37,0.69,0.38,0.31,0.65,0.3,0.35,0.76,0.32,0.44
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,5867,2555,324,156,168,50,26,24,83,37,46,84,49,35,62,31,31,45,13,32
,(000s),66903,29479,3960,2111,1849,820*,358#,462#,1208,694*,513*,1046,638*,409*,533,300*,232*,354*,121#,233*
,Vert%,28.87,45.31,49.47,55.63,43.93,64.21,73.06,58.7,65.65,70.82,59.72,64.97,71.77,56.65,35.18,42.74,28.54,20.08,16.49,22.64
,Horz%,100,44.06,5.92,3.16,2.76,1.23,0.54,0.69,1.81,1.04,0.77,1.56,0.95,0.61,0.8,0.45,0.35,0.53,0.18,0.35
,Index,100,157,171,193,152,222,253,203,227,245,207,225,249,196,122,148,99,70,57,78
TV,Unwgt,20633,5376,631,258,373,53,23,30,103,38,65,125,63,62,158,62,96,192,72,120
,(000s),209096,59689,7341,3478,3863,981*,356#,626#,1614,840*,774,1559,867,691,1476,700,777,1710,716,995
,Vert%,90.24,91.74,91.71,91.65,91.78,76.82,72.65,79.54,87.72,85.71,90.1,96.83,97.53,95.71,97.43,99.72,95.57,96.99,97.55,96.7
,Horz%,100,28.55,3.51,1.66,1.85,0.47,0.17,0.3,0.77,0.4,0.37,0.75,0.41,0.33,0.71,0.33,0.37,0.82,0.34,0.48
,Index,100,102,102,102,102,85,81,88,97,95,100,107,108,106,108,110,106,107,108,107
RADIO,Unwgt,16599,4637,550,223,327,48,17,31,100,39,61,108,52,56,134,53,81,160,62,98
,(000s),171433,51520,6604,3050,3555,980*,350#,631*,1477,750*,728,1315,699*,616*,1346,643*,703,1486,609,878
,Vert%,73.99,79.18,82.5,80.37,84.46,76.74,71.43,80.18,80.27,76.53,84.75,81.68,78.63,85.32,88.84,91.6,86.47,84.29,82.97,85.33
,Horz%,100,30.05,3.85,1.78,2.07,0.57,0.2,0.37,0.86,0.44,0.42,0.77,0.41,0.36,0.79,0.38,0.41,0.87,0.36,0.51
,Index,100,107,112,109,114,104,97,108,108,103,115,110,106,115,120,124,117,114,112,115
MAGAZINE,Unwgt,22182,5824,684,288,396,71,31,40,121,49,72,133,69,64,160,64,96,199,75,124
,(000s),219735,62794,7803,3688,4115,1277,490*,787*,1832,973*,859,1555,838,717,1439,702,738,1700,685,1015
,Vert%,94.83,96.51,97.48,97.18,97.77,100,100,100,99.57,99.29,100,96.58,94.26,99.31,94.98,100,90.77,96.43,93.32,98.64
,Horz%,100,28.58,3.55,1.68,1.87,0.58,0.22,0.36,0.83,0.44,0.39,0.71,0.38,0.33,0.65,0.32,0.34,0.77,0.31,0.46
,Index,100,102,103,102,103,105,105,105,105,105,105,102,99,105,100,105,96,102,98,104
MOVIE GOERS,Unwgt,23689,6041,702,295,407,71,31,40,124,51,73,137,71,66,165,64,101,205,78,127
,(000s),231709,65066,8005,3795,4209,1277,490*,787*,1840,980*,859,1610,889,722,1515,702,813,1763,734,1029
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,28.08,3.45,1.64,1.82,0.55,0.21,0.34,0.79,0.42,0.37,0.69,0.38,0.31,0.65,0.3,0.35,0.76,0.32,0.44
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SUPERMARKET GOER LAST 4 WEEKS,Unwgt,22818,5955,694,293,401,69,30,39,124,51,73,135,71,64,163,64,99,203,77,126
,(000s),224335,64291,7951,3780,4171,1262,480#,782*,1840,980*,859,1605,889,717,1511,702,809,1733,729,1004
,Vert%,96.82,98.81,99.33,99.6,99.1,98.83,97.96,99.36,100,100,100,99.69,100,99.31,99.74,100,99.51,98.3,99.32,97.57
,Horz%,100,28.66,3.54,1.68,1.86,0.56,0.21,0.35,0.82,0.44,0.38,0.72,0.4,0.32,0.67,0.31,0.36,0.77,0.32,0.45
,Index,100,102,103,103,102,102,101,103,103,103,103,103,103,103,103,103,103,102,103,101
TABLET OWNER,Unwgt,5929,2018,200,75,125,13,3,10,35,10,25,49,26,23,57,21,36,46,15,31
,(000s),58910,22321,2205,965,1240,291#,44#,247#,516*,246#,270#,452*,282#,170#,594*,283#,312*,352*,110#,242*
,Vert%,25.42,34.31,27.55,25.43,29.46,22.79,8.98,31.39,28.04,25.1,31.43,28.07,31.72,23.55,39.21,40.31,38.38,19.97,14.99,23.52
,Horz%,100,37.89,3.74,1.64,2.1,0.49,0.07,0.42,0.88,0.42,0.46,0.77,0.48,0.29,1.01,0.48,0.53,0.6,0.19,0.41
,Index,100,135,108,100,116,90,35,123,110,99,124,110,125,93,154,159,151,79,59,93
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,9912,3129,370,137,233,43,17,26,61,21,40,61,27,34,94,29,65,111,43,68
,(000s),100764,34457,4032,1712,2320,772*,229#,542#,914,481#,433*,496,225#,271*,848,313#,535,1003,464*,539
,Vert%,43.49,52.96,50.37,45.11,55.12,60.45,46.73,68.87,49.67,49.08,50.41,30.81,25.31,37.53,55.97,44.59,65.81,56.89,63.22,52.38
,Horz%,100,34.2,4,1.7,2.3,0.77,0.23,0.54,0.91,0.48,0.43,0.49,0.22,0.27,0.84,0.31,0.53,1,0.46,0.53
,Index,100,122,116,104,127,139,107,158,114,113,116,71,58,86,129,103,151,131,145,120
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,15702,4970,571,225,346,67,29,38,116,46,70,117,57,60,135,51,84,136,42,94
,(000s),159830,54775,6526,2879,3647,1254,475#,779*,1712,871*,841,1403,723*,680*,1218,509*,710,938,301*,637
