All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Gneral Movie Purchaser North East,Gneral Movie Purchaser North East Male,Gneral Movie Purchaser North East Female,Movie Purchaser NE 18-24,"Movie Purchaser NE 18-24 male
","Movie Purchaser NE 18-24 Female
",Movie Purchaser NE 25-34,Movie Purchaser NE 25-34 male,Movie Purchaser NE 25-34 Female,Movie Purchaser NE 35-44,Movie Purchaser NE 35-44 Male,Movie Purchaser NE 35-44 Female,Movie Purchaser NE 45-54,Movie Purchaser NE 45-54 Male,Movie Purchaser NE 45-54 Female,Movie Purchaser NE 55+,Movie Purchaser NE 55+ Male,Movie Purchaser NE 55+ Female
,Horz%,100,34.2,5.69,2.68,4.17,1.12,0.33,0.79,1.37,0.42,0.95,1.48,0.62,0.85,1.71,0.83,0.89,1.18,0.49,0.69
,Index,100,122,130,119,139,147,116,164,130,102,147,139,138,141,123,132,116,119,100,138
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,15702,4970,723,383,572,122,50,72,169,56,113,194,78,116,241,99,142,229,100,129
,(000s),159830,54775,5513,3917,6159,1728,614*,1114,2216,797*,1419,2182,850,1332,2664,1105,1559,1288,553,735
,Vert%,68.98,84.18,53.91,74.81,88.68,97.96,94.46,100,90.6,83.54,95.04,88.84,81.11,94.67,82.55,75.84,88.08,56.29,49.07,63.31
,Horz%,100,34.27,5.67,2.45,3.85,1.08,0.38,0.7,1.39,0.5,0.89,1.37,0.53,0.83,1.67,0.69,0.98,0.81,0.35,0.46
,Index,100,122,130,108,129,142,137,145,131,121,138,129,118,137,120,110,128,82,71,92
,,,,1027,,,,,,,,,,,,,,,,,
* Proj relatively unstable due to small base-use with caution.,,,,8808,,,,,,,,,,,,,,,,,
# Proj too small for reliability-shown for consistency only.,,,,86.12,,,,,,,,,,,,,,,,,
,,,,5.22,,,,,,,,,,,,,,,,,
Source: Simmons Fall 2013 NCS Adult Full Year Study,,,,119,,,,,,,,,,,,,,,,,
Weighted by: Population,,,,,,,,,,,,,,,,,,,,,
"(C) 2013 SMRB, Inc.  All Rights Reserved",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Wednesday, July 18, 2018 / 5:01 PM",,,,,,,,,,,,,,,,,,,,,
