All Respondents and VIDEO GAMES-DO YOU OWN OR PLAY? [YES],,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Gneral Movie Purchaser North East,Gneral Movie Purchaser North East Female,Gneral Movie Purchaser North East Male,Movie Purchaser NE 18-24,"Movie Purchaser NE 18-24 Female
","Movie Purchaser NE 18-24 male
",Movie Purchaser NE 25-34,Movie Purchaser NE 25-34 Female,Movie Purchaser NE 25-34 male,Movie Purchaser NE 35-44,Movie Purchaser NE 35-44 Male,Movie Purchaser NE 35-44 Female,Movie Purchaser NE 45-54,Movie Purchaser NE 45-54 Male,Movie Purchaser NE 45-54 Female,Movie Purchaser NE 55+,Movie Purchaser NE 55+ Male,Movie Purchaser NE 55+ Female
,Index,100,103,104,102,105,100,96,106,105,107,104,103,106,100,105,104,107,107,106,107
TABLET OWNER,Unwgt,2876,1107,213,109,104,31,18,13,52,27,25,47,21,26,40,26,14,43,19,24
,(000s),33165,12938,2137,1068,1069,426*,296#,130#,733*,399#,334#,347*,187#,160#,406*,314#,92#,225*,104#,121#
,Vert%,46.34,56.04,52.96,53.8,52.15,47.92,52.3,40.25,56.52,69.51,46.13,46.77,50.13,43.36,65.91,78.11,42.99,45.92,45.61,46.18
,Horz%,100,39.01,6.44,3.22,3.22,1.28,0.89,0.39,2.21,1.2,1.01,1.05,0.56,0.48,1.22,0.95,0.28,0.68,0.31,0.36
,Index,100,121,114,116,113,103,113,87,122,150,100,101,108,94,142,169,93,99,98,100
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,2863,1007,210,106,104,36,21,15,59,28,31,39,17,22,36,19,17,40,22,18
,(000s),32744,12012,2243,1130,1113,496*,342#,154#,692*,288#,405*,444*,181#,263#,343*,225#,119#,269*,149#,120#
,Vert%,45.75,52.03,55.59,56.93,54.29,55.79,60.42,47.68,53.35,50.17,55.94,59.84,48.53,71.27,55.68,55.97,55.61,54.9,65.35,45.8
,Horz%,100,36.68,6.85,3.45,3.4,1.51,1.04,0.47,2.11,0.88,1.24,1.36,0.55,0.8,1.05,0.69,0.36,0.82,0.46,0.37
,Index,100,114,122,124,119,122,132,104,117,110,122,131,106,156,122,122,122,120,143,100
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,5434,1779,342,170,172,57,30,27,90,44,46,72,36,36,55,29,26,68,34,34
,(000s),65448,22299,3940,1949,1991,889*,566#,323#,1295,574*,721*,734,369*,365*,584*,370#,214#,439,208*,231*
