All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser Pacific,Genral Movie Purchaser Pacific Male,Genral Movie Purchaser Pacific Female,Movie Purchaser Pacific 18-24,"Movie Purchaser Pacific 18-24 male
","Movie Purchaser Pacific 18-24 Female
",Movie Purchaser Pacific 25-34,Movie Purchaser Pacific 25-34 male,Movie Purchaser Pacific 25-34 Female,Movie Purchaser Pacific 35-44,Movie Purchaser Pacific 35-44 Male,Movie Purchaser Pacific 35-44 Female,Movie Purchaser Pacific 45-54,Movie Purchaser Pacific 45-54 Male,Movie Purchaser Pacific 45-54 Female,Movie Purchaser Pacific 55+,Movie Purchaser Pacific 55+ Male,Movie Purchaser Pacific 55+ Female
,Horz%,100,34.2,6.92,2.69,4.23,1.02,0.45,0.57,1.65,0.54,1.11,1.71,0.61,1.1,1.28,0.58,0.7,1.26,0.52,0.74
,Index,100,122,120,101,135,118,91,155,136,109,155,131,115,142,114,106,122,99,88,108
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,15702,4970,1024,427,597,159,75,84,190,74,116,236,98,138,235,90,145,204,90,114
,(000s),159830,54775,10986,4685,6302,1917,1094,823,2396,799,1598,2642,942,1700,2189,1070,1119,1842,781,1061
,Vert%,68.98,84.18,81.95,76.22,86.84,95.66,94.97,96.71,85.06,69.6,95.75,87.17,76.77,94.24,84.42,84.92,83.95,62.23,57.43,66.31
,Horz%,100,34.27,6.87,2.93,3.94,1.2,0.68,0.51,1.5,0.5,1,1.65,0.59,1.06,1.37,0.67,0.7,1.15,0.49,0.66
,Index,100,122,119,110,126,139,138,140,123,101,139,126,111,137,122,123,122,90,83,96
,,,,,,,,,,,,,,,,,,,,,
* Proj relatively unstable due to small base-use with caution.,,,,,,,,,,,,,,,,,,,,,
# Proj too small for reliability-shown for consistency only.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source: Simmons Fall 2013 NCS Adult Full Year Study,,,,,,,,,,,,,,,,,,,,,
Weighted by: Population,,,,,,,,,,,,,,,,,,,,,
"(C) 2013 SMRB, Inc.  All Rights Reserved",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Thursday, July 19, 2018 / 6:44 PM",,,,,,,,,,,,,,,,,,,,,
