,,Totals,General Movie Purchaser,Genral Movie Purchaser Pacific,Genral Movie Purchaser Pacific Male,Genral Movie Purchaser Pacific Female,Movie Purchaser Pacific 18-24,"Movie Purchaser Pacific 18-24 male
","Movie Purchaser Pacific 18-24 Female
",Movie Purchaser Pacific 25-34,Movie Purchaser Pacific 25-34 male,Movie Purchaser Pacific 25-34 Female,Movie Purchaser Pacific 35-44,Movie Purchaser Pacific 35-44 Male,Movie Purchaser Pacific 35-44 Female,Movie Purchaser Pacific 45-54,Movie Purchaser Pacific 45-54 Male,Movie Purchaser Pacific 45-54 Female,Movie Purchaser Pacific 55+,Movie Purchaser Pacific 55+ Male,Movie Purchaser Pacific 55+ Female
,Index,100,103,103,101,105,101,95,105,101,95,106,105,104,106,107,107,107,98,98,98
TABLET OWNER,Unwgt,2876,1107,220,111,109,12,5,7,12,5,21,76,37,39,45,22,23,40,21,19
,(000s),33165,12938,2300,1330,970,90#,58#,31#,90#,58#,224#,592,348*,244*,636*,293#,344#,405*,278#,127#
,Vert%,46.34,56.04,54.64,54.82,54.4,16.25,24.79,9.69,16.25,24.79,63.82,58.1,64.56,50.83,87.72,83.95,91.49,66.39,78.53,49.61
,Horz%,100,39.01,6.94,4.01,2.92,0.27,0.17,0.09,0.27,0.17,0.68,1.79,1.05,0.74,1.92,0.88,1.04,1.22,0.84,0.38
,Index,100,121,118,118,117,35,53,21,35,53,138,125,139,110,189,181,197,143,169,107
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,2863,1007,213,111,102,36,17,19,36,17,18,64,31,33,34,17,17,29,14,15
,(000s),32744,12012,2439,1404,1035,407*,193#,214#,407*,193#,228#,582,305*,277*,406*,192#,214#,310#,208#,102#
,Vert%,45.75,52.03,57.95,57.87,58.05,73.47,82.48,66.88,73.47,82.48,64.96,57.11,56.59,57.71,56,55.01,56.91,50.82,58.76,39.84
,Horz%,100,36.68,7.45,4.29,3.16,1.24,0.59,0.65,1.24,0.59,0.7,1.78,0.93,0.85,1.24,0.59,0.65,0.95,0.64,0.31
,Index,100,114,127,127,127,161,180,146,161,180,142,125,124,126,122,120,124,111,128,87
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,5434,1779,360,194,166,50,24,26,50,24,33,108,55,53,57,29,28,54,28,26
,(000s),65448,22299,3997,2275,1722,544*,224#,320#,544*,224#,351*,961,539*,422*,685*,312#,374#,510*,255#,254#
