All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Gneral Movie Purchaser North East,Gneral Movie Purchaser North East Male,Gneral Movie Purchaser North East Female,Movie Purchaser NE 18-24,"Movie Purchaser NE 18-24 male
","Movie Purchaser NE 18-24 Female
",Movie Purchaser NE 25-34,Movie Purchaser NE 25-34 male,Movie Purchaser NE 25-34 Female,Movie Purchaser NE 35-44,Movie Purchaser NE 35-44 Male,Movie Purchaser NE 35-44 Female,Movie Purchaser NE 45-54,Movie Purchaser NE 45-54 Male,Movie Purchaser NE 45-54 Female,Movie Purchaser NE 55+,Movie Purchaser NE 55+ Male,Movie Purchaser NE 55+ Female
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,11617,3450,723,280,443,88,34,54,109,31,78,136,55,81,156,63,93,234,97,137
,(000s),97217,30518,5513,2301,3212,988,385*,603*,1167,330*,837,1249,567*,681,1032,471,561,1078,549,529
,Vert%,41.54,51.07,53.91,45.22,62.51,58.05,47.65,67.45,48.93,31.95,61.91,64.48,56.47,72.99,47.49,41.94,53.43,53.1,48.97,58.2
,Horz%,100,31.39,5.67,2.37,3.3,1.02,0.4,0.62,1.2,0.34,0.86,1.28,0.58,0.7,1.06,0.48,0.58,1.11,0.56,0.54
,Index,100,123,130,109,150,140,115,162,118,77,149,155,136,176,114,101,129,128,118,140
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,19439,5601,1027,418,609,130,52,78,183,66,117,214,92,122,224,92,132,276,116,160
,(000s),168880,51870,8808,4182,4627,1676,784*,892,2283,999,1284,1875,947,928,1744,848,896,1231,603,628
,Vert%,72.16,86.8,86.12,82.18,90.05,98.47,97.03,99.78,95.72,96.71,94.97,96.8,94.32,99.46,80.26,75.51,85.33,60.64,53.79,69.09
,Horz%,100,30.71,5.22,2.48,2.74,0.99,0.46,0.53,1.35,0.59,0.76,1.11,0.56,0.55,1.03,0.5,0.53,0.73,0.36,0.37
,Index,100,120,119,114,125,136,134,138,133,134,132,134,131,138,111,105,118,84,75,96
,,,,,,,,,,,,,,,,,,,,,
* Proj relatively unstable due to small base-use with caution.,,,,,,,,,,,,,,,,,,,,,
# Proj too small for reliability-shown for consistency only.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source: Simmons Fall 2014 NCS Adult Full Year Study,,,,,,,,,,,,,,,,,,,,,
Weighted by: Population,,,,,,,,,,,,,,,,,,,,,
"(C) 2014 SMRB, Inc.  All Rights Reserved",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Wednesday, July 18, 2018 / 4:56 PM",,,,,,,,,,,,,,,,,,,,,
