All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,Genearl Movie Purchaser,General Movie Purchaser West Central,General Movie Purchaser West Central Male,General Movie Purchaser West Central Female,Movie Purchaser WC 18-24,"Movie Purchaser WC 18-24 male
","Movie Purchaser WC 18-24 Female
",Movie Purchaser WC 25-34,Movie Purchaser WC 25-34 male,Movie Purchaser WC 25-34 Female,Movie Purchaser WC 35-44,Movie Purchaser WC 35-44 Male,Movie Purchaser WC 35-44 Female,Movie Purchaser WC 45-54,Movie Purchaser WC 45-54 Male,Movie Purchaser WC 45-54 Female,Movie Purchaser WC 55+,Movie Purchaser WC 55+ Male,Movie Purchaser WC 55+ Female
Totals,Unwgt,27446,6622,965,382,583,95,27,68,176,65,111,196,87,109,216,85,131,282,118,164
,(000s),234034,59760,10697,4937,5760,1389,573#,817,2797,1358,1439,2151,1048,1103,2209,983,1226,2151,976,1175
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,25.53,4.57,2.11,2.46,0.59,0.24,0.35,1.2,0.58,0.61,0.92,0.45,0.47,0.94,0.42,0.52,0.92,0.42,0.5
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,6623,2746,411,180,231,49,25,24,112,45,67,111,55,56,83,36,47,56,19,37
,(000s),65410,27699,5032,2591,2441,823*,552#,271#,1843,866*,977,1162,671*,490*,850,437*,413*,354*,65#,289*
,Vert%,27.95,46.35,47.04,52.48,42.38,59.25,96.34,33.17,65.89,63.77,67.89,54.02,64.03,44.42,38.48,44.46,33.69,16.46,6.66,24.6
,Horz%,100,42.35,7.69,3.96,3.73,1.26,0.84,0.41,2.82,1.32,1.49,1.78,1.03,0.75,1.3,0.67,0.63,0.54,0.1,0.44
,Index,100,166,168,188,152,212,345,119,236,228,243,193,229,159,138,159,121,59,24,88
Digital Music,Unwgt,27446,6622,965,382,583,95,27,68,176,65,111,196,87,109,216,85,131,282,118,164
,(000s),234034,59760,10697,4937,5760,1389,573#,817,2797,1358,1439,2151,1048,1103,2209,983,1226,2151,976,1175
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,25.53,4.57,2.11,2.46,0.59,0.24,0.35,1.2,0.58,0.61,0.92,0.45,0.47,0.94,0.42,0.52,0.92,0.42,0.5
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
TV,Unwgt,23478,5814,843,321,522,74,20,54,146,50,96,172,74,98,194,72,122,257,105,152
,(000s),207976,54297,9880,4521,5360,1240,520#,720*,2556,1273*,1283,1958,919,1038,2050,871,1179,2077,938,1139
,Vert%,88.87,90.86,92.36,91.57,93.06,89.27,90.75,88.13,91.38,93.74,89.16,91.03,87.69,94.11,92.8,88.61,96.17,96.56,96.11,96.94
,Horz%,100,26.11,4.75,2.17,2.58,0.6,0.25,0.35,1.23,0.61,0.62,0.94,0.44,0.5,0.99,0.42,0.57,1,0.45,0.55
,Index,100,102,104,103,105,100,102,99,103,105,100,102,99,106,104,100,108,109,108,109
RADIO,Unwgt,19045,5069,741,273,468,70,17,53,128,43,85,162,67,95,172,62,110,209,84,125
