All Respondents and VIDEO GAMES-DO YOU OWN OR PLAY? [YES],,,,,,,,,,,,,,,,,,,,,
,,Totals,Genearl Movie Purchaser,General Movie Purchaser West Central,General Movie Purchaser West Central Male,General Movie Purchaser West Central Female,Movie Purchaser WC 18-24,"Movie Purchaser WC 18-24 male
","Movie Purchaser WC 18-24 Female
",Movie Purchaser WC 25-34,Movie Purchaser WC 25-34 male,Movie Purchaser WC 25-34 Female,Movie Purchaser WC 35-44,Movie Purchaser WC 35-44 Male,Movie Purchaser WC 35-44 Female,Movie Purchaser WC 45-54,Movie Purchaser WC 45-54 Male,Movie Purchaser WC 45-54 Female,Movie Purchaser WC 55+,Movie Purchaser WC 55+ Male,Movie Purchaser WC 55+ Female
,Index,100,103,105,105,106,107,107,107,107,107,107,101,98,104,106,105,107,107,107,107
TABLET OWNER,Unwgt,2876,1107,156,71,85,12,5,7,34,19,15,49,19,30,35,18,17,26,10,16
,(000s),33165,12938,2137,1094,1043,159#,43#,116#,816*,498#,318#,587*,219#,368#,370*,210#,161#,205#,124#,81#
,Vert%,46.34,56.04,50.82,46.14,56.87,27.75,14.48,42.03,47.5,46.72,48.77,67.86,53.41,80.88,53.08,52.5,54.21,58.4,62.94,52.6
,Horz%,100,39.01,6.44,3.3,3.14,0.48,0.13,0.35,2.46,1.5,0.96,1.77,0.66,1.11,1.12,0.63,0.49,0.62,0.37,0.24
,Index,100,121,110,100,123,60,31,91,103,101,105,146,115,175,115,113,117,126,136,114
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,2863,1007,145,69,76,13,8,5,35,18,17,43,20,23,31,14,17,23,9,14
,(000s),32744,12012,2606,1381,1225,260#,154#,106#,1210*,640#,570#,634*,339#,295#,357*,149#,208#,145#,99#,46#
,Vert%,45.75,52.03,61.97,58.25,66.79,45.38,51.85,38.41,70.43,60.04,87.42,73.29,82.68,64.84,51.22,37.25,70.03,41.31,50.25,29.87
,Horz%,100,36.68,7.96,4.22,3.74,0.79,0.47,0.32,3.7,1.95,1.74,1.94,1.04,0.9,1.09,0.46,0.64,0.44,0.3,0.14
,Index,100,114,135,127,146,99,113,84,154,131,191,160,181,142,112,81,153,90,110,65
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,5434,1779,235,115,120,29,16,13,59,35,24,62,24,38,49,25,24,36,15,21
,(000s),65448,22299,4000,2203,1796,562#,286#,276#,1665*,1013*,652#,825,371#,455*,639*,368#,270#,309*,166#,143#
,Vert%,91.44,96.58,95.12,92.91,97.93,98.08,96.3,100,96.92,95.03,100,95.38,90.49,100,91.68,92,90.91,88.03,84.26,92.86
,Horz%,100,34.07,6.11,3.37,2.74,0.86,0.44,0.42,2.54,1.55,1,1.26,0.57,0.7,0.98,0.56,0.41,0.47,0.25,0.22
,Index,100,106,104,102,107,107,105,109,106,104,109,104,99,109,100,101,99,96,92,102
,,,,,,,,,,,,,,,,,,,,,
* Proj relatively unstable due to small base-use with caution.,,,,,,,,,,,,,,,,,,,,,
# Proj too small for reliability-shown for consistency only.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source: Simmons Fall 2017 NCS Adult Full Year Study,,,,,,,,,,,,,,,,,,,,,
Weighted by: Population,,,,,,,,,,,,,,,,,,,,,
(C) 2017 Simmons Research LLC.  All Rights Reserved,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Thursday, July 19, 2018 / 4:48 PM",,,,,,,,,,,,,,,,,,,,,
