All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,Genearl Movie Purchaser,General Movie Purchaser West Central,General Movie Purchaser West Central Male,General Movie Purchaser West Central Female,Movie Purchaser WC 18-24,"Movie Purchaser WC 18-24 male
","Movie Purchaser WC 18-24 Female
",Movie Purchaser WC 25-34,Movie Purchaser WC 25-34 male,Movie Purchaser WC 25-34 Female,Movie Purchaser WC 35-44,Movie Purchaser WC 35-44 Male,Movie Purchaser WC 35-44 Female,Movie Purchaser WC 45-54,Movie Purchaser WC 45-54 Male,Movie Purchaser WC 45-54 Female,Movie Purchaser WC 55+,Movie Purchaser WC 55+ Male,Movie Purchaser WC 55+ Female
Totals,Unwgt,23689,6041,906,414,492,117,55,62,179,78,101,178,85,93,182,87,95,250,109,141
,(000s),231709,65066,10540,5183,5357,2072,1157*,915,2455,1039,1415,2046,899,1148,1677,1004,673,2290,1085,1206
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,28.08,4.55,2.24,2.31,0.89,0.5,0.39,1.06,0.45,0.61,0.88,0.39,0.5,0.72,0.43,0.29,0.99,0.47,0.52
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,5867,2555,397,217,180,75,43,32,122,65,57,106,58,48,60,30,30,34,21,13
,(000s),66903,29479,4549,2609,1941,1252,910*,342*,1696,773,923*,887,505*,382*,483*,283#,200#,232*,138#,94#
,Vert%,28.87,45.31,43.16,50.34,36.23,60.42,78.65,37.38,69.08,74.4,65.23,43.35,56.17,33.28,28.8,28.19,29.72,10.13,12.72,7.79
,Horz%,100,44.06,6.8,3.9,2.9,1.87,1.36,0.51,2.54,1.16,1.38,1.33,0.75,0.57,0.72,0.42,0.3,0.35,0.21,0.14
,Index,100,157,149,174,125,209,272,129,239,258,226,150,195,115,100,98,103,35,44,27
TV,Unwgt,20633,5376,799,358,441,92,41,51,154,63,91,158,76,82,162,77,85,233,101,132
,(000s),209096,59689,9969,4825,5145,1821,991*,830*,2298,909,1389,1977,880,1097,1619,981,637,2254,1063,1192
,Vert%,90.24,91.74,94.58,93.09,96.04,87.89,85.65,90.71,93.6,87.49,98.16,96.63,97.89,95.56,96.54,97.71,94.65,98.43,97.97,98.84
,Horz%,100,28.55,4.77,2.31,2.46,0.87,0.47,0.4,1.1,0.43,0.66,0.95,0.42,0.52,0.77,0.47,0.3,1.08,0.51,0.57
,Index,100,102,105,103,106,97,95,101,104,97,109,107,108,106,107,108,105,109,109,110
RADIO,Unwgt,16599,4637,703,315,388,74,31,43,151,63,88,144,64,80,154,76,78,180,81,99
,(000s),171433,51520,8400,4153,4247,1577,882*,695*,1872,832,1040,1650,701,949,1440,841,599,1862,897,965
,Vert%,73.99,79.18,79.7,80.13,79.28,76.11,76.23,75.96,76.25,80.08,73.5,80.65,77.98,82.67,85.87,83.76,89,81.31,82.67,80.02
,Horz%,100,30.05,4.9,2.42,2.48,0.92,0.51,0.41,1.09,0.49,0.61,0.96,0.41,0.55,0.84,0.49,0.35,1.09,0.52,0.56
,Index,100,107,108,108,107,103,103,103,103,108,99,109,105,112,116,113,120,110,112,108
MAGAZINE,Unwgt,22182,5824,877,399,478,114,52,62,175,75,100,176,85,91,175,84,91,237,103,134
,(000s),219735,62794,10315,5023,5292,2021,1106*,915,2434,1037,1397,2020,899,1122,1639,976,663,2199,1004,1196
,Vert%,94.83,96.51,97.87,96.91,98.79,97.54,95.59,100,99.14,99.81,98.73,98.73,100,97.74,97.73,97.21,98.51,96.03,92.53,99.17
