All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,Genearl Movie Purchaser,General Movie Purchaser West Central,General Movie Purchaser West Central Male,General Movie Purchaser West Central Female,Movie Purchaser WC 18-24,"Movie Purchaser WC 18-24 male
","Movie Purchaser WC 18-24 Female
",Movie Purchaser WC 25-34,Movie Purchaser WC 25-34 male,Movie Purchaser WC 25-34 Female,Movie Purchaser WC 35-44,Movie Purchaser WC 35-44 Male,Movie Purchaser WC 35-44 Female,Movie Purchaser WC 45-54,Movie Purchaser WC 45-54 Male,Movie Purchaser WC 45-54 Female,Movie Purchaser WC 55+,Movie Purchaser WC 55+ Male,Movie Purchaser WC 55+ Female
TABLET OWNER,Unwgt,9818,2790,451,180,271,48,17,31,85,25,60,80,33,47,108,53,55,130,52,78
,(000s),93980,30098,5626,2269,3357,642*,193#,449*,1587,549#,1038*,1369,553*,817*,1074,565*,509*,953,409*,544
,Vert%,39.14,50.33,51.79,47.33,55.3,39.9,29.74,46.77,57.86,50.05,63.06,57.45,53.22,60.79,57.19,61.95,52.69,42.34,37.32,47.1
,Horz%,100,32.03,5.99,2.41,3.57,0.68,0.21,0.48,1.69,0.58,1.1,1.46,0.59,0.87,1.14,0.6,0.54,1.01,0.44,0.58
,Index,100,129,132,121,141,102,76,120,148,128,161,147,136,155,146,158,135,108,95,120
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,11429,2943,464,181,283,79,30,49,89,25,64,71,29,42,97,43,54,128,54,74
,(000s),106233,31033,6200,2588,3612,1195,437#,758*,1716,655#,1061,1090,446#,644*,963,451*,512*,1237,599*,638
,Vert%,44.24,51.89,57.07,53.98,59.51,74.27,67.33,78.96,62.56,59.71,64.46,45.74,42.93,47.92,51.28,49.45,53,54.95,54.65,55.24
,Horz%,100,29.21,5.84,2.44,3.4,1.12,0.41,0.71,1.62,0.62,1,1.03,0.42,0.61,0.91,0.42,0.48,1.16,0.56,0.6
,Index,100,117,129,122,135,168,152,178,141,135,146,103,97,108,116,112,120,124,124,125
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,19339,4827,749,290,459,114,47,67,143,48,95,143,56,87,161,66,95,188,73,115
,(000s),188131,52995,9873,4222,5651,1608,648*,960,2721,1075*,1646,2322,985*,1338,1670,810,860,1552,704,848
,Vert%,78.34,88.61,90.88,88.07,93.1,99.94,99.85,100,99.2,97.99,100,97.44,94.8,99.55,88.92,88.82,89.03,68.95,64.23,73.42
,Horz%,100,28.17,5.25,2.24,3,0.85,0.34,0.51,1.45,0.57,0.87,1.23,0.52,0.71,0.89,0.43,0.46,0.82,0.37,0.45
,Index,100,113,116,112,119,128,127,128,127,125,128,124,121,127,114,113,114,88,82,94
,,,,,,,,,,,,,,,,,,,,,
* Proj relatively unstable due to small base-use with caution.,,,,,,,,,,,,,,,,,,,,,
# Proj too small for reliability-shown for consistency only.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source: Simmons Fall 2016 NCS Adult Full Year Study,,,,,,,,,,,,,,,,,,,,,
Weighted by: Population,,,,,,,,,,,,,,,,,,,,,
(C) 2015 Simmons Research LLC.  All Rights Reserved,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Thursday, July 19, 2018 / 4:57 PM",,,,,,,,,,,,,,,,,,,,,
