All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser South West,Genral Movie Purchaser South West Male,Genral Movie Purchaser South West Female,Movie Purchaser South West 18-24,"Movie Purchaser South West 18-24 male
","Movie Purchaser South West 18-24 Female
",Movie Purchaser South West 25-34,Movie Purchaser South West 25-34 male,Movie Purchaser South West 25-34 Female,Movie Purchaser South West 35-44,Movie Purchaser South West 35-44 Male,Movie Purchaser South West 35-44 Female,Movie Purchaser South West 45-54,Movie Purchaser South West 45-54 Male,Movie Purchaser South West 45-54 Female,Movie Purchaser South West 55+,Movie Purchaser South West 55+ Male,Movie Purchaser South West 55+ Female
TABLET OWNER,Unwgt,9818,2790,499,181,318,49,12,37,49,12,60,101,37,64,131,54,77,127,47,80
,(000s),93980,30098,4237,1729,2509,640*,98#,542*,640*,98#,713*,1066,508*,559,876,443*,433,469,207*,263
,Vert%,39.14,50.33,52.44,43.75,60.78,50,23.61,62.59,50,23.61,69.49,64.1,57.6,71.57,56.96,54.09,60.22,31.16,26.92,35.73
,Horz%,100,32.03,4.51,1.84,2.67,0.68,0.1,0.58,0.68,0.1,0.76,1.13,0.54,0.59,0.93,0.47,0.46,0.5,0.22,0.28
,Index,100,129,134,112,155,128,60,160,128,60,178,164,147,183,146,138,154,80,69,91
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,11429,2943,514,188,326,55,14,41,55,14,61,87,33,54,126,47,79,150,59,91
,(000s),106233,31033,3474,1583,1892,484*,161#,322*,484*,161#,500,692,295*,396*,672,343*,329,610,266*,344
,Vert%,44.24,51.89,43,40.06,45.83,37.81,38.8,37.18,37.81,38.8,48.73,41.61,33.45,50.7,43.69,41.88,45.76,40.53,34.59,46.74
,Horz%,100,29.21,3.27,1.49,1.78,0.46,0.15,0.3,0.46,0.15,0.47,0.65,0.28,0.37,0.63,0.32,0.31,0.57,0.25,0.32
,Index,100,117,97,91,104,85,88,84,85,88,110,94,76,115,99,95,103,92,78,106
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,19339,4827,890,356,534,109,37,72,109,37,100,169,67,102,196,80,116,243,99,144
,(000s),188131,52995,7184,3486,3698,1188,344*,844,1188,344*,1023,1585,857,728,1239,687,553,1138,588,550
,Vert%,78.34,88.61,88.91,88.21,89.58,92.81,82.89,97.46,92.81,82.89,99.71,95.31,97.17,93.21,80.56,83.88,76.91,75.61,76.46,74.73
,Horz%,100,28.17,3.82,1.85,1.97,0.63,0.18,0.45,0.63,0.18,0.54,0.84,0.46,0.39,0.66,0.37,0.29,0.6,0.31,0.29
,Index,100,113,113,113,114,118,106,124,118,106,127,122,124,119,103,107,98,97,98,95
,,,,,,,,,,,,,,,,,,,,,
* Proj relatively unstable due to small base-use with caution.,,,,,,,,,,,,,,,,,,,,,
# Proj too small for reliability-shown for consistency only.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source: Simmons Fall 2016 NCS Adult Full Year Study,,,,,,,,,,,,,,,,,,,,,
Weighted by: Population,,,,,,,,,,,,,,,,,,,,,
(C) 2015 Simmons Research LLC.  All Rights Reserved,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Thursday, July 19, 2018 / 7:02 PM",,,,,,,,,,,,,,,,,,,,,
