,,Totals,General Movie Purchaser,Genral Movie Purchaser South West,Genral Movie Purchaser South West Male,Genral Movie Purchaser South West Female,Movie Purchaser South West 18-24,"Movie Purchaser South West 18-24 male
","Movie Purchaser South West 18-24 Female
",Movie Purchaser South West 25-34,Movie Purchaser South West 25-34 male,Movie Purchaser South West 25-34 Female,Movie Purchaser South West 35-44,Movie Purchaser South West 35-44 Male,Movie Purchaser South West 35-44 Female,Movie Purchaser South West 45-54,Movie Purchaser South West 45-54 Male,Movie Purchaser South West 45-54 Female,Movie Purchaser South West 55+,Movie Purchaser South West 55+ Male,Movie Purchaser South West 55+ Female
TABLET OWNER,Unwgt,2876,1107,210,99,111,21,8,13,64,28,36,55,30,25,33,14,23,33,19,14
,(000s),33165,12938,1157,534,623,159#,79#,80#,484,177#,307*,241*,130#,111#,156*,31#,85#,156*,117#,40#
,Vert%,46.34,56.04,48.01,36.78,65.03,42.86,32.51,62.5,49.74,32.78,70.9,44.38,35.14,64.16,51.49,26.05,83.33,51.49,64.64,32.79
,Horz%,100,39.01,3.49,1.61,1.88,0.48,0.24,0.24,1.46,0.53,0.93,0.73,0.39,0.33,0.47,0.09,0.26,0.47,0.35,0.12
,Index,100,121,104,79,140,92,70,135,107,71,153,96,76,138,111,56,180,111,140,71
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,2863,1007,192,101,91,31,18,13,57,29,28,48,29,19,23,16,17,23,9,14
,(000s),32744,12012,1144,620,524,206*,109#,97#,430*,188#,242#,324*,227#,98#,80#,76#,28#,80#,21#,59#
,Vert%,45.75,52.03,47.47,42.7,54.7,55.53,44.86,75.78,44.19,34.81,55.89,59.67,61.35,56.65,26.4,63.87,27.45,26.4,11.6,48.36
,Horz%,100,36.68,3.49,1.89,1.6,0.63,0.33,0.3,1.31,0.57,0.74,0.99,0.69,0.3,0.24,0.23,0.09,0.24,0.06,0.18
,Index,100,114,104,93,120,121,98,166,97,76,122,130,134,124,58,140,60,58,25,106
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,5434,1779,373,198,175,57,34,23,111,59,52,84,49,35,64,25,32,64,31,33
,(000s),65448,22299,2345,1404,941,350*,222*,128#,971,538*,433*,538,365*,173*,273,112#,101*,273,167*,106*
,Vert%,91.44,96.58,97.3,96.69,98.23,94.34,91.36,100,99.79,99.63,100,99.08,98.65,100,90.1,94.12,99.02,90.1,92.27,86.89
