All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser South West,Genral Movie Purchaser South West Male,Genral Movie Purchaser South West Female,Movie Purchaser South West 18-24,"Movie Purchaser South West 18-24 male
","Movie Purchaser South West 18-24 Female
",Movie Purchaser South West 25-34,Movie Purchaser South West 25-34 male,Movie Purchaser South West 25-34 Female,Movie Purchaser South West 35-44,Movie Purchaser South West 35-44 Male,Movie Purchaser South West 35-44 Female,Movie Purchaser South West 45-54,Movie Purchaser South West 45-54 Male,Movie Purchaser South West 45-54 Female,Movie Purchaser South West 55+,Movie Purchaser South West 55+ Male,Movie Purchaser South West 55+ Female
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,11617,3450,724,274,450,95,39,56,166,60,106,166,64,102,149,52,97,59,89,148
,(000s),97217,30518,3405,1430,1974,493,269*,224*,880,321*,559,732,365,367,600,296*,304,180*,520,700
,Vert%,41.54,51.07,46.24,39.01,53.39,38.52,36.8,40.8,46.76,36.77,55.4,46.21,42.94,50,50.59,46.69,55.17,31.14,60.89,48.92
,Horz%,100,31.39,3.5,1.47,2.03,0.51,0.28,0.23,0.91,0.33,0.58,0.75,0.38,0.38,0.62,0.3,0.31,0.19,0.53,0.72
,Index,100,123,111,94,129,93,89,98,113,89,133,111,103,120,122,112,133,75,147,118
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,19439,5601,1297,545,752,200,90,110,312,125,187,315,132,183,248,95,153,103,119,222
,(000s),168880,51870,6374,3119,3256,1265,716,548,1821,860,962,1400,714,686,950,462,488,367,572,938
,Vert%,72.16,86.8,86.57,85.08,88.07,98.83,97.95,99.82,96.76,98.51,95.34,88.38,84,93.46,80.1,72.87,88.57,63.49,66.98,65.55
,Horz%,100,30.71,3.77,1.85,1.93,0.75,0.42,0.32,1.08,0.51,0.57,0.83,0.42,0.41,0.56,0.27,0.29,0.22,0.34,0.56
,Index,100,120,120,118,122,137,136,138,134,137,132,122,116,130,111,101,123,88,93,91
,,,,,,,,,,,,,,,,,,,,,
* Proj relatively unstable due to small base-use with caution.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source: Simmons Fall 2014 NCS Adult Full Year Study,,,,,,,,,,,,,,,,,,,,,
Weighted by: Population,,,,,,,,,,,,,,,,,,,,,
"(C) 2014 SMRB, Inc.  All Rights Reserved",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Thursday, July 19, 2018 / 6:50 PM",,,,,,,,,,,,,,,,,,,,,
