All Respondents and VIDEO GAMES-DO YOU OWN OR PLAY? [YES],,,,,,,,,,,,,,,,,,,,,
,,Totals,GeECral Movie Purchaser,GECral Movie Purchaser East Central,GECral Movie Purchaser East Central Male,GECral Movie Purchaser East Central Female,Movie Purchaser EC 18-24,"Movie Purchaser EC 18-24 male
","Movie Purchaser EC 18-24 Female
",Movie Purchaser EC 25-34,Movie Purchaser EC 25-34 male,Movie Purchaser EC 25-34 Female,Movie Purchaser EC 35-44,Movie Purchaser EC 35-44 Male,Movie Purchaser EC 35-44 Female,Movie Purchaser EC 45-54,Movie Purchaser EC 45-54 Male,Movie Purchaser EC 45-54 Female,Movie Purchaser EC 55+,Movie Purchaser EC 55+ Male,Movie Purchaser EC 55+ Female
,Horz%,100,33.15,4.21,2.26,1.95,0.53,0.46,0.07,1.36,0.58,0.78,1.36,0.74,0.62,0.47,0.16,0.32,0.49,0.32,0.17
,Index,100,103,100,97,102,91,90,107,94,88,100,107,107,107,101,107,98,107,107,107
TABLET OWNER,Unwgt,2876,1107,117,54,63,8,6,2,31,14,17,36,16,20,22,11,11,20,7,13
,(000s),33165,12938,1843,912*,931,209#,196#,13#,612*,306#,305#,605*,262#,343#,271#,91#,180#,146#,56#,90#
,Vert%,46.34,56.04,60.97,55.07,68.11,50.85,53.41,29.55,59.02,64.69,54.08,66.48,52.82,82.85,80.42,85.85,77.92,44.51,26.17,78.95
,Horz%,100,39.01,5.56,2.75,2.81,0.63,0.59,0.04,1.85,0.92,0.92,1.82,0.79,1.03,0.82,0.27,0.54,0.44,0.17,0.27
,Index,100,121,132,119,147,110,115,64,127,140,117,143,114,179,174,185,168,96,56,170
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,2863,1007,101,51,50,15,10,5,21,7,14,28,14,14,21,12,9,16,8,8
,(000s),32744,12012,1536,820*,715*,295#,261#,34#,406#,182#,224#,614#,299#,315#,132#,51#,82#,88#,27#,61#
,Vert%,45.75,52.03,50.81,49.52,52.3,71.78,71.12,77.27,39.15,38.48,39.72,67.47,60.28,76.09,39.17,48.11,35.5,26.83,12.62,53.51
,Horz%,100,36.68,4.69,2.5,2.18,0.9,0.8,0.1,1.24,0.56,0.68,1.88,0.91,0.96,0.4,0.16,0.25,0.27,0.08,0.19
,Index,100,114,111,108,114,157,155,169,86,84,87,147,132,166,86,105,78,59,28,117
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,5434,1779,186,94,92,22,15,7,51,22,29,52,27,25,31,14,17,30,16,14
,(000s),65448,22299,2985,1626,1358,411#,367#,44#,1037*,473#,564#,900*,486#,414#,329*,101#,228#,308#,200#,108#
,Vert%,91.44,96.58,98.74,98.19,99.34,100,100,100,100,100,100,98.9,97.98,100,97.63,95.28,98.7,93.9,93.46,94.74
,Horz%,100,34.07,4.56,2.48,2.07,0.63,0.56,0.07,1.58,0.72,0.86,1.38,0.74,0.63,0.5,0.15,0.35,0.47,0.31,0.17
,Index,100,106,108,107,109,109,109,109,109,109,109,108,107,109,107,104,108,103,102,104
,,,,,,,,,,,,,,,,,,,,,
* Proj relatively unstable due to small base-use with caution.,,,,,,,,,,,,,,,,,,,,,
# Proj too small for reliability-shown for consistency only.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source: Simmons Fall 2017 NCS Adult Full Year Study,,,,,,,,,,,,,,,,,,,,,
Weighted by: Population,,,,,,,,,,,,,,,,,,,,,
(C) 2017 Simmons Research LLC.  All Rights Reserved,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Thursday, July 19, 2018 / 10:02 AM",,,,,,,,,,,,,,,,,,,,,
