Geography,Gender,age,population
Florida,male,70_to_74_years,503750
Florida,male,75_to_79_years,357818
Florida,male,80_to_84_years,238533
Florida,male,85_years_and_over,219410
Georgia,male,Under_5_years,336237
Georgia,male,5_to_9_years,353467
Georgia,male,10_to_14_years,367342
Georgia,male,15_to_19_years,368818
Georgia,male,20_to_24_years,366728
Georgia,male,25_to_29_years,377312
Georgia,male,30_to_34_years,342470
Georgia,male,35_to_39_years,337450
Georgia,male,40_to_44_years,322699
Georgia,male,45_to_49_years,349448
Georgia,male,50_to_54_years,340721
Georgia,male,55_to_59_years,323418
Georgia,male,60_to_64_years,276471
Georgia,male,65_to_69_years,226994
Georgia,male,70_to_74_years,170558
Georgia,male,75_to_79_years,105951
Georgia,male,80_to_84_years,62162
Georgia,male,85_years_and_over,47261
Hawaii,male,Under_5_years,46357
Hawaii,male,5_to_9_years,44335
Hawaii,male,10_to_14_years,42435
Hawaii,male,15_to_19_years,39744
Hawaii,male,20_to_24_years,52268
Hawaii,male,25_to_29_years,55945
Hawaii,male,30_to_34_years,52055
Hawaii,male,35_to_39_years,48636
Hawaii,male,40_to_44_years,42418
Hawaii,male,45_to_49_years,43755
Hawaii,male,50_to_54_years,43653
Hawaii,male,55_to_59_years,45841
Hawaii,male,60_to_64_years,43981
Hawaii,male,65_to_69_years,39786
Hawaii,male,70_to_74_years,30263
Hawaii,male,75_to_79_years,18430
Hawaii,male,80_to_84_years,11793
Hawaii,male,85_years_and_over,14392
Idaho,male,Under_5_years,59664
Idaho,male,5_to_9_years,62627
Idaho,male,10_to_14_years,65773
Idaho,male,15_to_19_years,62126
Idaho,male,20_to_24_years,59089
Idaho,male,25_to_29_years,58919
Idaho,male,30_to_34_years,55919
Idaho,male,35_to_39_years,56699
Idaho,male,40_to_44_years,50941
Idaho,male,45_to_49_years,50618
Idaho,male,50_to_54_years,49121
Idaho,male,55_to_59_years,53054
Idaho,male,60_to_64_years,50619
Idaho,male,65_to_69_years,44622
Idaho,male,70_to_74_years,34015
Idaho,male,75_to_79_years,22156
Idaho,male,80_to_84_years,13494
Idaho,male,85_years_and_over,11002
Illinois,male,Under_5_years,395254
Illinois,male,5_to_9_years,403484
Illinois,male,10_to_14_years,421597
Illinois,male,15_to_19_years,427885
Illinois,male,20_to_24_years,440632
Illinois,male,25_to_29_years,458402
Illinois,male,30_to_34_years,440152
Illinois,male,35_to_39_years,426286
Illinois,male,40_to_44_years,392345
Illinois,male,45_to_49_years,413294
Illinois,male,50_to_54_years,418476
Illinois,male,55_to_59_years,429364
Illinois,male,60_to_64_years,378039
Illinois,male,65_to_69_years,302089
Illinois,male,70_to_74_years,217504
Illinois,male,75_to_79_years,144285
Illinois,male,80_to_84_years,94301
Illinois,male,85_years_and_over,89089
Indiana,male,Under_5_years,216091
Indiana,male,5_to_9_years,220437
Indiana,male,10_to_14_years,228728
Indiana,male,15_to_19_years,234035
Indiana,male,20_to_24_years,243202
Indiana,male,25_to_29_years,227942
Indiana,male,30_to_34_years,208659
Indiana,male,35_to_39_years,210815
Indiana,male,40_to_44_years,197001
Indiana,male,45_to_49_years,210688
Indiana,male,50_to_54_years,214364
Indiana,male,55_to_59_years,222827
Indiana,male,60_to_64_years,201138
Indiana,male,65_to_69_years,163295
Indiana,male,70_to_74_years,117712
Indiana,male,75_to_79_years,77563
Indiana,male,80_to_84_years,49101
Indiana,male,85_years_and_over,43497
Iowa,male,Under_5_years,101804
Iowa,male,5_to_9_years,103831
Iowa,male,10_to_14_years,105666
Iowa,male,15_to_19_years,109865
Iowa,male,20_to_24_years,118833
Iowa,male,25_to_29_years,102827
Iowa,male,30_to_34_years,99856
Iowa,male,35_to_39_years,100968
Iowa,male,40_to_44_years,88290
Iowa,male,45_to_49_years,93503
Iowa,male,50_to_54_years,98047
Iowa,male,55_to_59_years,106935
Iowa,male,60_to_64_years,99633
Iowa,male,65_to_69_years,82448
Iowa,male,70_to_74_years,57976
Iowa,male,75_to_79_years,39998
Iowa,male,80_to_84_years,27654
Iowa,male,85_years_and_over,26599
Kansas,male,Under_5_years,98430
Kansas,male,5_to_9_years,102265
Kansas,male,10_to_14_years,102270
Kansas,male,15_to_19_years,103566
Kansas,male,20_to_24_years,113186
Kansas,male,25_to_29_years,101130
Kansas,male,30_to_34_years,96236
Kansas,male,35_to_39_years,95472
Kansas,male,40_to_44_years,82937
Kansas,male,45_to_49_years,84836
Kansas,male,50_to_54_years,87941
Kansas,male,55_to_59_years,94693
Kansas,male,60_to_64_years,87823
Kansas,male,65_to_69_years,71219
Kansas,male,70_to_74_years,50832
Kansas,male,75_to_79_years,33444
Kansas,male,80_to_84_years,23071
Kansas,male,85_years_and_over,22605
Kentucky,male,Under_5_years,142133
Kentucky,male,5_to_9_years,141783
Kentucky,male,10_to_14_years,145102
Kentucky,male,15_to_19_years,147459
Kentucky,male,20_to_24_years,157543
Kentucky,male,25_to_29_years,155214
Kentucky,male,30_to_34_years,138734
Kentucky,male,35_to_39_years,140787
Kentucky,male,40_to_44_years,133689
