Geography,Gender,Under_5_years,5_to_9_years,10_to_14_years,15_to_19_years,20_to_24_years,25_to_29_years,30_to_34_years,35_to_39_years,40_to_44_years,45_to_49_years,50_to_54_years,55_to_59_years,60_to_64_years,65_to_69_years,70_to_74_years,75_to_79_years,80_to_84_years,85_years_and_over
Wisconsin,male,171722,180862,188711,193976,204039,188944,185502,185235,165992,181918,198942,212179,191153,157231,110559,72751,48471,44551
Wyoming,male,19132,19838,19974,18866,20297,20620,20735,20001,17233,16991,17160,20403,20328,16578,11655,7277,4383,3967
Puerto Rico,male,75791,90227,101890,113803,116962,110409,90911,97113,98529,102124,103713,100731,95614,87884,76642,54006,35247,31107
Alabama,female,144180,147759,150981,157072,163231,170408,154552,155256,149430,161003,166142,175678,165455,143689,113631,80897,56520,59027
Alaska,female,26458,25222,24147,22093,23268,29020,27136,24136,20419,21134,22291,24112,22133,16221,10689,6460,4043,4021
Arizona,female,213647,221269,228582,228331,231880,240414,220283,218635,206221,214562,213157,225341,218086,203496,168696,117691,76401,81277
Arkansas,female,93122,95292,97198,96842,99472,102087,94889,94858,89299,93194,96878,101389,96778,85524,69286,49925,34444,37738
California,female,1206803,1229425,1245910,1254099,1338452,1513117,1405834,1337511,1255619,1306528,1285223,1288876,1161996,968879,740010,516095,372246,462477
Colorado,female,164704,170520,177417,172981,178981,210878,205888,195146,173871,179379,174866,187796,173876,144876,104565,67792,46325,54960
Connecticut,female,89503,97423,107988,119770,119875,107181,110387,109749,105987,125675,138400,140362,123336,99916,81251,56081,42220,61280
Delaware,female,27116,28030,28503,29906,29361,33919,30558,29574,27025,30992,34242,36153,34638,31408,24919,16682,11047,12352
District of Columbia,female,22184,18001,13740,19418,29102,44895,41413,30405,21231,19314,18593,18815,18168,15755,11612,8131,5857,8139
Florida,female,555832,564078,577916,587833,618724,697702,654015,643110,626815,683559,726919,754742,721830,675701,582447,423245,296971,336142
Georgia,female,324076,339901,355022,354918,351620,378396,355148,360108,347209,368278,360639,350392,313281,268738,204589,135818,90403,95336
Hawaii,female,43752,42457,39563,37287,41729,49533,49027,46850,41498,43342,44267,46578,46672,42164,32723,21704,16356,25949
