category,gender,age,year,division,population,share
totals,Male,18-24,2013,east_central,31,1.0
totals,Male,25-34,2013,east_central,51,1.0
totals,Male,35-44,2013,east_central,71,1.0
totals,Male,45-54,2013,east_central,64,1.0
totals,Male,55+,2013,east_central,78,1.0
totals,Female,18-24,2013,east_central,40,1.0
totals,Female,25-34,2013,east_central,73,1.0
totals,Female,35-44,2013,east_central,66,1.0
totals,Female,45-54,2013,east_central,101,1.0
totals,Female,55+,2013,east_central,127,1.0
video_game,Male,18-24,2013,east_central,26,0.8387096774193549
video_game,Male,25-34,2013,east_central,37,0.7254901960784313
video_game,Male,35-44,2013,east_central,49,0.6901408450704225
video_game,Male,45-54,2013,east_central,31,0.484375
video_game,Male,55+,2013,east_central,13,0.16666666666666666
video_game,Female,18-24,2013,east_central,24,0.6
video_game,Female,25-34,2013,east_central,46,0.6301369863013698
video_game,Female,35-44,2013,east_central,35,0.5303030303030303
video_game,Female,45-54,2013,east_central,31,0.3069306930693069
video_game,Female,55+,2013,east_central,32,0.25196850393700787
tv,Male,18-24,2013,east_central,23,0.7419354838709677
tv,Male,25-34,2013,east_central,38,0.7450980392156863
tv,Male,35-44,2013,east_central,63,0.8873239436619719
tv,Male,45-54,2013,east_central,62,0.96875
tv,Male,55+,2013,east_central,72,0.9230769230769231
tv,Female,18-24,2013,east_central,30,0.75
tv,Female,25-34,2013,east_central,65,0.8904109589041096
tv,Female,35-44,2013,east_central,62,0.9393939393939394
tv,Female,45-54,2013,east_central,96,0.9504950495049505
tv,Female,55+,2013,east_central,120,0.9448818897637795
radio,Male,18-24,2013,east_central,17,0.5483870967741935
radio,Male,25-34,2013,east_central,39,0.7647058823529411
radio,Male,35-44,2013,east_central,52,0.7323943661971831
radio,Male,45-54,2013,east_central,53,0.828125
radio,Male,55+,2013,east_central,62,0.7948717948717948
radio,Female,18-24,2013,east_central,31,0.775
radio,Female,25-34,2013,east_central,61,0.8356164383561644
radio,Female,35-44,2013,east_central,56,0.8484848484848485
radio,Female,45-54,2013,east_central,81,0.801980198019802
radio,Female,55+,2013,east_central,98,0.7716535433070866
magazine,Male,18-24,2013,east_central,31,1.0
magazine,Male,25-34,2013,east_central,49,0.9607843137254902
magazine,Male,35-44,2013,east_central,69,0.971830985915493
magazine,Male,45-54,2013,east_central,64,1.0
magazine,Male,55+,2013,east_central,75,0.9615384615384616
magazine,Female,18-24,2013,east_central,40,1.0
magazine,Female,25-34,2013,east_central,72,0.9863013698630136
magazine,Female,35-44,2013,east_central,64,0.9696969696969697
magazine,Female,45-54,2013,east_central,96,0.9504950495049505
magazine,Female,55+,2013,east_central,124,0.9763779527559056
movie_goers,Male,18-24,2013,east_central,31,1.0
movie_goers,Male,25-34,2013,east_central,51,1.0
movie_goers,Male,35-44,2013,east_central,71,1.0
movie_goers,Male,45-54,2013,east_central,64,1.0
movie_goers,Male,55+,2013,east_central,78,1.0
movie_goers,Female,18-24,2013,east_central,40,1.0
movie_goers,Female,25-34,2013,east_central,73,1.0
movie_goers,Female,35-44,2013,east_central,66,1.0
movie_goers,Female,45-54,2013,east_central,101,1.0
movie_goers,Female,55+,2013,east_central,127,1.0
supermarket_goer_last_4_weeks,Male,18-24,2013,east_central,30,0.967741935483871
supermarket_goer_last_4_weeks,Male,25-34,2013,east_central,51,1.0
supermarket_goer_last_4_weeks,Male,35-44,2013,east_central,71,1.0
supermarket_goer_last_4_weeks,Male,45-54,2013,east_central,64,1.0
supermarket_goer_last_4_weeks,Male,55+,2013,east_central,77,0.9871794871794872
supermarket_goer_last_4_weeks,Female,18-24,2013,east_central,39,0.975
supermarket_goer_last_4_weeks,Female,25-34,2013,east_central,73,1.0
supermarket_goer_last_4_weeks,Female,35-44,2013,east_central,64,0.9696969696969697
supermarket_goer_last_4_weeks,Female,45-54,2013,east_central,99,0.9801980198019802
supermarket_goer_last_4_weeks,Female,55+,2013,east_central,126,0.9921259842519685
tablet_owner,Male,18-24,2013,east_central,3,0.0967741935483871
tablet_owner,Male,25-34,2013,east_central,10,0.19607843137254902
tablet_owner,Male,35-44,2013,east_central,26,0.36619718309859156
