age_label,all_live_theater/concerts/dance-attended_last_12_months,magazine,movie_goers,radio,social_media_[social_media_user],supermarket_goer_last_4_weeks,tablet_owner,tv,video_game
25,0.552143636,0.805226949,1,0.741085662,0.937326957,0.994252874,0.544382918,0.791257656,0.578949576
25,0.686126102,0.790476504,1,0.781196525,0.93688298,0.987133079,0.549328682,0.786955377,0.617941293
25,0.543705333,0.772883452,1,0.71206707,0.958562397,0.995327103,0.509002199,0.670629467,0.590640462
25,0.64,0.683333333,1.05,0.73,1.03,0.953333333,0.45,0.71,1
35,0.526409972,0.968283352,1,0.795106751,0.914044181,0.98864618,0.438818956,0.875293101,0.532148587
35,0.540455263,0.804034257,1,0.768875366,0.91232815,0.987716926,0.592066712,0.849222448,0.607955826
35,0.707264957,0.766083916,1,0.82020202,0.921406371,0.990947941,0.581779332,0.879448329,0.487762238
35,0.502047502,0.82005382,1,0.776061776,0.947525448,0.971510472,0.537030537,0.841523342,0.500877501
35,0.621606335,0.777337858,1.058257919,0.845211161,1.048453997,1.038838612,0.738122172,0.893288084,1
45,0.532085422,0.958437761,1,0.811299081,0.825762322,0.983683166,0.395415622,0.911497494,0.325997285
45,0.510195035,0.862367021,1,0.813977541,0.815381206,1,0.367907801,0.890809693,0.347296099
45,0.699739017,0.818486298,1,0.768508047,0.863201392,0.986472379,0.553892997,0.831274467,0.349499783
45,0.55787037,0.840277778,1,0.743055556,0.930555556,1,0.578703704,0.87037037,0.277777778
45,0.633103448,0.948275862,1.114482759,0.911034483,1.06,1.114482759,0.839310345,0.988275862,1
55,0.46415619,0.965929239,1,0.666424887,0.643012573,0.974451966,0.26686412,0.940401354,0.190905061
55,0.501837461,0.892049152,1,0.715576312,0.701068024,0.984285878,0.324043946,0.904930521,0.208322168
55,0.632221548,0.893476752,1,0.703417765,0.748069917,0.997159091,0.433292852,0.904927134,0.170085878
55,0.515806216,0.875405925,1,0.717443171,0.722877593,0.980035125,0.439227252,0.921780767,0.139870104
55,0.675925926,1.175925926,1.361111111,1.083333333,1.240740741,1.314814815,0.916666667,1.222222222,1
18,0.536835055,0.975985457,1,0.695752009,0.955702258,0.9898584,0.263585917,0.7449292,0.648488328
18,0.475455568,0.744296963,1,0.693183352,0.968886389,0.990348706,0.344274466,0.740427447,0.67624297
18,0.705925926,0.685185185,1,0.668888889,0.973333333,0.978518519,0.314074074,0.768148148,0.574814815
18,0.469791667,0.718229167,1,0.682291667,0.944791667,0.9796875,0.369270833,0.703645833,0.500520833
18,0.533401639,0.636885246,1,0.637704918,0.954713115,0.925819672,0.426844262,0.636885246,0.991803279
25,0.472916667,0.972916667,1,0.775,0.922916667,0.986458333,0.345833333,0.848958333,0.627083333
25,0.488494195,0.771018888,1,0.775749437,0.949306879,0.978963784,0.454306013,0.823635418,0.573973315
25,0.732965862,0.718575556,1,0.809293388,0.943715111,0.993562232,0.476268619,0.812659542,0.535877584
25,0.530693717,0.748974695,1,0.746356894,0.958813264,1,0.501527051,0.806348168,0.538961606
25,0.480392157,0.692067736,1,0.7010918,0.985294118,0.989416221,0.579545455,0.787321747,0.955325312
35,0.508092508,0.960639211,1,0.821769822,0.886675637,0.991088491,0.411703912,0.919055419,0.566621817
35,0.45156104,0.813527181,1,0.772769747,0.893489254,0.981174078,0.505743967,0.886151267,0.480858022
35,0.673535167,0.781311155,1,0.782951537,0.942097387,0.996575342,0.579457811,0.843962242,0.48460343
35,0.475248583,0.723083503,1,0.784988774,0.957001319,0.993941338,0.563473395,0.856516626,0.448786486
35,0.512067841,0.758561644,1,0.76214938,0.96338878,0.975293542,0.652886497,0.82167319,0.933300718
45,0.470904229,0.943728731,1,0.789304813,0.805347594,0.994992708,0.359722897,0.922508508,0.305444823
45,0.503418199,0.849198491,1,0.805209807,0.852145215,0.989556813,0.454314003,0.908934465,0.306199906
45,0.692555756,0.816244726,1,0.791681736,0.850271248,0.994454491,0.47941531,0.89225437,0.293942134
45,0.516624041,0.804696582,1,0.78970007,0.872936526,0.988723553,0.555800977,0.889793071,0.304929086
45,0.528846154,0.824358974,1,0.748717949,0.902564103,0.975641026,0.637820513,0.857051282,0.872435897
55,0.416734143,0.963697706,1,0.721592443,0.690148448,0.990418354,0.281376518,0.92780027,0.180836707
55,0.445791246,0.90976431,1,0.698821549,0.669360269,0.991750842,0.306228956,0.952020202,0.206228956
55,0.647719506,0.888157203,1,0.709621451,0.686317035,0.992678759,0.379035226,0.936192166,0.157912723
55,0.462779606,0.881080969,1,0.689474828,0.745308006,0.991221263,0.414090467,0.935413951,0.170396466
55,0.38809922,0.877229654,1,0.766304348,0.901198439,0.961399108,0.585423634,0.913322185,0.782887402
18,0.587777778,0.951481481,1,0.681851852,0.961481481,0.971481481,0.356666667,0.70037037,0.735925926
18,0.501838235,0.818933824,1,0.683823529,0.947150735,1,0.318933824,0.772058824,0.698988971
18,0.697619048,0.733333333,1,0.654761905,0.983333333,1,0.35952381,0.702380952,0.535714286
18,0.5,0.75634058,1,0.553442029,0.9375,0.968297101,0.319746377,0.638586957,0.538949275
18,0.544117647,0.674019608,1,0.569852941,0.949754902,0.887254902,0.481617647,0.653186275,1
25,0.488858364,0.967032967,1,0.738782051,0.972222222,1,0.33264652,0.846688034,0.633547009
25,0.471166237,0.81314433,1,0.709407216,0.953286082,0.984375,0.453044459,0.815802191,0.562580541
25,0.74988698,0.730221519,1,0.800180832,0.969484629,0.993670886,0.497965642,0.820637432,0.598779385
25,0.542330807,0.788215312,1,0.701593938,0.947870395,1,0.513065064,0.834334988,0.52861249
25,0.459340659,0.787545788,1.027106227,0.73040293,1.027106227,1.012820513,0.609157509,0.853113553,1
35,0.567620137,0.975915332,1,0.785926773,0.884267735,0.982494279,0.42791762,0.899542334,0.585469108
35,0.434389671,0.833450704,1,0.766197183,0.919953052,0.985915493,0.514730047,0.881161972,0.478814554
35,0.630952381,0.828125,1,0.78125,0.936011905,0.991071429,0.627232143,0.869047619,0.462053571
35,0.46253469,0.730342276,1,0.767036694,0.963768116,0.994680851,0.564523589,0.857924761,0.450431699
35,0.495601173,0.855816227,1.076735093,0.826490714,1.044477028,1.029325513,0.732649071,0.920332356,1
45,0.485446985,0.918087318,1,0.784199584,0.856444906,1,0.385343035,0.928690229,0.29002079
45,0.51985847,0.836576736,1,0.767448032,0.884298983,0.996240602,0.46103494,0.893940734,0.330119416
45,0.686889017,0.818430132,1,0.745974698,0.820299022,0.993243243,0.463772283,0.873921794,0.294709603
45,0.497577657,0.835280707,1,0.78246414,0.910373326,0.994252874,0.548779329,0.865821222,0.325306355
45,0.578817734,0.910714286,1.105295567,0.8091133,0.983374384,1.105295567,0.754926108,0.911945813,1
55,0.452463054,0.965270936,1,0.706034483,0.712561576,0.992980296,0.312807882,0.936330049,0.185714286
55,0.462765957,0.919775576,1,0.665767998,0.689376275,0.993029243,0.327018362,0.940687846,0.226488876
55,0.620754717,0.889193825,1,0.674585477,0.731903945,0.990909091,0.39565466,0.938479131,0.174070898
55,0.466062358,0.892253459,1,0.669491154,0.7435409,0.990431774,0.444823962,0.930329305,0.17472412
55,0.655279503,1.086956522,1.25931677,0.885093168,1.201863354,1.23757764,1,1.144409938,1
18,0.506652661,0.990196078,1,0.706932773,0.952731092,1,0.211134454,0.771358543,0.598739496
18,0.461929672,0.713600697,1,0.696454519,0.979366463,0.985614647,0.355855856,0.728712584,0.668991572
18,0.707777778,0.657777778,1,0.672777778,0.966666667,0.968888889,0.295,0.802777778,0.591666667
18,0.452027027,0.694594595,1,0.761148649,0.948986486,0.986486486,0.4,0.743918919,0.477702703
18,0.532608696,0.617753623,1.013888889,0.690821256,0.972222222,0.964371981,0.393719807,0.631642512,1
25,0.464765101,0.975213545,1,0.801441428,0.888194021,0.976243136,0.354751373,0.849984747,0.617373398
25,0.496833621,0.750796392,1,0.807829591,0.947418922,0.976300134,0.454634427,0.827096527,0.579447323
25,0.721984201,0.714151828,1,0.815169367,0.929542107,0.993506494,0.463448922,0.80867586,0.502175659
25,0.474019608,0.751960784,1,0.774264706,0.952696078,1,0.444117647,0.746568627,0.456372549
25,0.538218794,0.684081346,1.065217391,0.74088359,1.041023843,1.057152875,0.617110799,0.811360449,1
35,0.465619308,0.949852004,1,0.847336066,0.889287341,0.996527778,0.399362477,0.932490893,0.553904827
35,0.45892686,0.804886618,1,0.777131907,0.878776749,0.977946343,0.500638774,0.890178857,0.48211434
35,0.700078247,0.75086072,1,0.784194053,0.945539906,1,0.548904538,0.827543036,0.498669797
35,0.486309524,0.71547619,1,0.800992063,0.950992063,0.993055556,0.561706349,0.85515873,0.447420635
35,0.581188725,0.767156863,1.072303922,0.827512255,1.027267157,1.0625,0.684742647,0.849264706,1
45,0.454613095,0.966517857,1,0.790922619,0.766369048,0.990327381,0.330357143,0.914434524,0.313988095
45,0.493294118,0.859058824,1,0.832588235,0.83,0.985058824,0.448941176,0.919647059,0.287529412
45,0.694786535,0.815270936,1,0.831486043,0.875205255,0.995689655,0.492405583,0.907635468,0.294950739
45,0.534242424,0.777878788,1,0.796515152,0.839393939,0.983636364,0.561666667,0.910757576,0.286060606
45,0.636904762,0.973214286,1.19047619,0.916666667,1.092261905,1.130952381,0.702380952,1.05952381,1
55,0.370114943,0.964604462,1,0.743509128,0.662001352,0.986747803,0.242866802,0.914503043,0.172988506
55,0.459494885,0.916144501,1,0.727365729,0.649840153,0.995588235,0.305914322,0.961860614,0.181074169
55,0.669182084,0.888266796,1,0.741966894,0.647176241,0.993670886,0.364070107,0.933739046,0.142259007
55,0.459259259,0.870899471,1,0.708465608,0.747619048,0.992063492,0.385714286,0.94021164,0.166137566
55,0.432291667,1.223958333,1.359375,1.109375,1.171875,1.28125,0.588541667,1.255208333,1
18,0.557917889,0.972727273,1,0.628592375,0.947507331,0.972727273,0.3228739,0.784017595,0.648973607
18,0.619553377,0.796840959,1,0.704520697,0.937091503,0.959422658,0.343137255,0.767429194,0.639433551
18,0.780405405,0.691528067,1,0.589397089,0.945945946,0.963357588,0.269490644,0.743503119,0.632276507
18,0.671794091,0.780536095,1,0.696923546,0.979591837,0.992537313,0.404812671,0.714590314,0.492689613
18,0.42760181,0.825791855,1,0.542986425,0.970588235,1,0.416289593,0.805429864,1
25,0.537128713,0.975818736,1,0.839489718,0.943767454,0.993589744,0.384488449,0.854341203,0.698844884
25,0.542688843,0.784961885,1,0.713652114,0.926819127,0.964726265,0.378516979,0.817047817,0.647955648
25,0.765625,0.759259259,1,0.734375,0.96412037,1,0.515046296,0.827546296,0.569155093
25,0.591944146,0.788077336,1,0.778839957,0.989795918,1,0.570891515,0.817722879,0.583458647
25,0.59740991,0.747184685,1,0.719031532,0.972972973,1,0.569256757,0.698198198,0.979166667
35,0.519734345,0.989247312,1,0.806578115,0.872106262,0.988235294,0.362112587,0.887919039,0.599240987
35,0.547558789,0.839185912,1,0.820837288,0.859854476,0.979331435,0.499367289,0.874828641,0.572972688
35,0.680392157,0.80255358,1,0.810852713,0.929685363,0.994117647,0.608071135,0.902416781,0.641632467
35,0.466113786,0.777510255,1,0.8105939,0.933208489,1,0.525949706,0.857856251,0.403335117
35,0.687246964,0.792510121,1,0.817813765,0.961538462,0.967611336,0.760121457,0.851214575,0.973684211
45,0.521294616,0.961705989,1,0.847307925,0.775499093,0.994252874,0.355656382,0.889897157,0.33030853
45,0.578625954,0.869465649,1,0.784553211,0.843062416,1,0.40466996,0.889178267,0.391154019
45,0.652049427,0.828159534,1,0.829666466,0.873216797,0.992063492,0.565802692,0.876431585,0.419931686
45,0.517768547,0.837313949,1,0.832467982,0.851332641,1,0.58416984,0.875850929,0.348563517
45,0.576923077,0.836538462,1,0.836538462,0.907967033,0.982142857,0.648351648,0.851648352,0.759615385
55,0.462782224,0.947654369,1,0.722623463,0.627952372,0.984774546,0.227731147,0.931387859,0.142429566
55,0.438300951,0.953906573,1,0.737029764,0.677552708,0.990853659,0.345959074,0.908329888,0.193313353
55,0.611967818,0.919125042,1,0.77930495,0.725053079,0.995614035,0.390853727,0.937870153,0.194854174
55,0.470451399,0.910468014,1,0.77028524,0.683633343,0.983771808,0.4744946,0.937718084,0.178759346
55,0.505,0.955,1,0.73,0.795,1,0.57,0.955,0.86
