Cat,Gender,Age,Year,Region,Pop
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,55+,2013,Central East,42
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,28-24,2013,Central East,38
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,25-34,2013,Central East,70
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,35-44,2013,Central East,60
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,45-54,2013,Central East,84
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,55+,2013,Central East,94
Totals,Male,28-24,2014,Central East,28
Totals,Male,25-34,2014,Central East,51
Totals,Male,35-44,2014,Central East,77
Totals,Male,45-54,2014,Central East,81
Totals,Male,55+,2014,Central East,76
Totals,Female,28-24,2014,Central East,49
Totals,Female,25-34,2014,Central East,90
Totals,Female,35-44,2014,Central East,105
Totals,Female,45-54,2014,Central East,95
Totals,Female,55+,2014,Central East,112
Video_Game,Male,28-24,2014,Central East,22
Video_Game,Male,25-34,2014,Central East,39
Video_Game,Male,35-44,2014,Central East,52
Video_Game,Male,45-54,2014,Central East,36
Video_Game,Male,55+,2014,Central East,10
Video_Game,Female,28-24,2014,Central East,26
Video_Game,Female,25-34,2014,Central East,53
Video_Game,Female,35-44,2014,Central East,58
Video_Game,Female,45-54,2014,Central East,33
Video_Game,Female,55+,2014,Central East,16
Digital_Music,Male,28-24,2014,Central East,28
Digital_Music,Male,25-34,2014,Central East,51
Digital_Music,Male,35-44,2014,Central East,77
Digital_Music,Male,45-54,2014,Central East,81
Digital_Music,Male,55+,2014,Central East,76
Digital_Music,Female,28-24,2014,Central East,49
Digital_Music,Female,25-34,2014,Central East,90
Digital_Music,Female,35-44,2014,Central East,105
Digital_Music,Female,45-54,2014,Central East,95
Digital_Music,Female,55+,2014,Central East,112
TV,Male,28-24,2014,Central East,18
TV,Male,25-34,2014,Central East,42
TV,Male,35-44,2014,Central East,66
TV,Male,45-54,2014,Central East,73
TV,Male,55+,2014,Central East,65
TV,Female,28-24,2014,Central East,40
TV,Female,25-34,2014,Central East,76
TV,Female,35-44,2014,Central East,91
TV,Female,45-54,2014,Central East,91
TV,Female,55+,2014,Central East,101
RADIO,Male,28-24,2014,Central East,15
RADIO,Male,25-34,2014,Central East,40
RADIO,Male,35-44,2014,Central East,52
RADIO,Male,45-54,2014,Central East,67
RADIO,Male,55+,2014,Central East,57
RADIO,Female,28-24,2014,Central East,40
RADIO,Female,25-34,2014,Central East,77
RADIO,Female,35-44,2014,Central East,91
RADIO,Female,45-54,2014,Central East,76
RADIO,Female,55+,2014,Central East,81
MAGAZINE,Male,28-24,2014,Central East,20
MAGAZINE,Male,25-34,2014,Central East,39
MAGAZINE,Male,35-44,2014,Central East,63
MAGAZINE,Male,45-54,2014,Central East,71
MAGAZINE,Male,55+,2014,Central East,73
MAGAZINE,Female,28-24,2014,Central East,39
MAGAZINE,Female,25-34,2014,Central East,74
MAGAZINE,Female,35-44,2014,Central East,95
