Cat,Gender,Age,Year,Region,Pop
Streaming_Video,Female,45-54,2017,Central East,15
Streaming_Video,Female,55+,2017,Central East,13
Digital_Music,Male,28-24,2017,Central East,15
Digital_Music,Male,25-34,2017,Central East,22
Digital_Music,Male,35-44,2017,Central East,28
Digital_Music,Male,45-54,2017,Central East,15
Digital_Music,Male,55+,2017,Central East,19
Digital_Music,Female,28-24,2017,Central East,7
Digital_Music,Female,25-34,2017,Central East,29
Digital_Music,Female,35-44,2017,Central East,25
Digital_Music,Female,45-54,2017,Central East,18
Digital_Music,Female,55+,2017,Central East,16
TV,Male,28-24,2017,Central East,13
TV,Male,25-34,2017,Central East,11
TV,Male,35-44,2017,Central East,27
TV,Male,45-54,2017,Central East,13
TV,Male,55+,2017,Central East,18
TV,Female,28-24,2017,Central East,6
TV,Female,25-34,2017,Central East,18
TV,Female,35-44,2017,Central East,23
TV,Female,45-54,2017,Central East,17
TV,Female,55+,2017,Central East,15
RADIO,Male,28-24,2017,Central East,10
RADIO,Male,25-34,2017,Central East,13
RADIO,Male,35-44,2017,Central East,25
RADIO,Male,45-54,2017,Central East,13
RADIO,Male,55+,2017,Central East,14
RADIO,Female,28-24,2017,Central East,5
RADIO,Female,25-34,2017,Central East,25
RADIO,Female,35-44,2017,Central East,20
RADIO,Female,45-54,2017,Central East,14
RADIO,Female,55+,2017,Central East,15
MAGAZINE,Male,28-24,2017,Central East,12
MAGAZINE,Male,25-34,2017,Central East,11
MAGAZINE,Male,35-44,2017,Central East,18
MAGAZINE,Male,45-54,2017,Central East,12
MAGAZINE,Male,55+,2017,Central East,18
MAGAZINE,Female,28-24,2017,Central East,6
MAGAZINE,Female,25-34,2017,Central East,21
MAGAZINE,Female,35-44,2017,Central East,23
MAGAZINE,Female,45-54,2017,Central East,16
MAGAZINE,Female,55+,2017,Central East,14
MOVIE_GOERS,Male,28-24,2017,Central East,15
MOVIE_GOERS,Male,25-34,2017,Central East,22
MOVIE_GOERS,Male,35-44,2017,Central East,28
MOVIE_GOERS,Male,45-54,2017,Central East,15
MOVIE_GOERS,Male,55+,2017,Central East,19
MOVIE_GOERS,Female,28-24,2017,Central East,7
MOVIE_GOERS,Female,25-34,2017,Central East,29
MOVIE_GOERS,Female,35-44,2017,Central East,25
MOVIE_GOERS,Female,45-54,2017,Central East,18
MOVIE_GOERS,Female,55+,2017,Central East,16
SUPERMARKET_GOER_LAST_4_WEEKS,Male,28-24,2017,Central East,14
SUPERMARKET_GOER_LAST_4_WEEKS,Male,25-34,2017,Central East,20
SUPERMARKET_GOER_LAST_4_WEEKS,Male,35-44,2017,Central East,28
SUPERMARKET_GOER_LAST_4_WEEKS,Male,45-54,2017,Central East,15
SUPERMARKET_GOER_LAST_4_WEEKS,Male,55+,2017,Central East,19
SUPERMARKET_GOER_LAST_4_WEEKS,Female,28-24,2017,Central East,7
SUPERMARKET_GOER_LAST_4_WEEKS,Female,25-34,2017,Central East,28
SUPERMARKET_GOER_LAST_4_WEEKS,Female,35-44,2017,Central East,25
SUPERMARKET_GOER_LAST_4_WEEKS,Female,45-54,2017,Central East,17
SUPERMARKET_GOER_LAST_4_WEEKS,Female,55+,2017,Central East,16
TABLET_OWNER,Male,28-24,2017,Central East,6
TABLET_OWNER,Male,25-34,2017,Central East,14
TABLET_OWNER,Male,35-44,2017,Central East,16
TABLET_OWNER,Male,45-54,2017,Central East,11
TABLET_OWNER,Male,55+,2017,Central East,7
TABLET_OWNER,Female,28-24,2017,Central East,2
TABLET_OWNER,Female,25-34,2017,Central East,17
TABLET_OWNER,Female,35-44,2017,Central East,20
TABLET_OWNER,Female,45-54,2017,Central East,11
TABLET_OWNER,Female,55+,2017,Central East,13
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,28-24,2017,Central East,10
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,25-34,2017,Central East,7
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,35-44,2017,Central East,14
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,45-54,2017,Central East,12
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,55+,2017,Central East,8
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,28-24,2017,Central East,5
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,25-34,2017,Central East,14
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,35-44,2017,Central East,14
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,45-54,2017,Central East,9
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,55+,2017,Central East,8
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,28-24,2017,Central East,15
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,25-34,2017,Central East,22
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,35-44,2017,Central East,27
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,45-54,2017,Central East,14
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,55+,2017,Central East,16
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,28-24,2017,Central East,7
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,25-34,2017,Central East,29
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,35-44,2017,Central East,25
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,45-54,2017,Central East,17
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,55+,2017,Central East,14
