,division,Latitude,Longitude
0,east_central,41.885151300000004,-86.97143566
1,north_east,42.23324158888889,-72.81556558888889
2,pacific,40.41512574000001,-126.62062017999999
3,south,35.918663744444444,-79.6929642111111
4,south_east,34.709732974999994,-87.076198725
5,south_west,33.05110145,-95.588672275
6,west_central,42.623573914285714,-96.82040301428572
