All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser South East,Genral Movie Purchaser South East Male,Genral Movie Purchaser South East Female,Movie Purchaser South East 18-24,"Movie Purchaser South East 18-24 male
","Movie Purchaser South East 18-24 Female
",Movie Purchaser South East 25-34,Movie Purchaser South East 25-34 male,Movie Purchaser South East 25-34 Female,Movie Purchaser South East 35-44,Movie Purchaser South East 35-44 Male,Movie Purchaser South East 35-44 Female,Movie Purchaser South East 45-54,Movie Purchaser South East 45-54 Male,Movie Purchaser South East 45-54 Female,Movie Purchaser South East 55+,Movie Purchaser South East 55+ Male,Movie Purchaser South East 55+ Female
,Horz%,100,23.79,4.25,2.08,2.17,0.48,0.24,0.24,1.03,0.66,0.37,0.83,0.26,0.57,0.91,0.46,0.44,1,0.46,0.54
,Index,100,96,96,98,94,87,83,90,100,116,81,101,89,107,101,100,101,89,89,90
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,18677,5026,675,271,404,64,29,35,131,54,77,144,50,94,138,60,78,198,78,120
,(000s),180654,52077,9237,4368,4869,1291,656#,635*,2307,1338*,969,1876,653*,1223,1709,803*,907,2054,919,1135
,Vert%,76.32,88.46,88.13,86.96,89.21,97.95,96.05,100,94.74,99.63,88.74,96.21,96.03,96.3,80.2,73.94,86.71,77.57,74.59,80.16
,Horz%,100,28.83,5.11,2.42,2.7,0.71,0.36,0.35,1.28,0.74,0.54,1.04,0.36,0.68,0.95,0.44,0.5,1.14,0.51,0.63
,Index,100,116,115,114,117,128,126,131,124,131,116,126,126,126,105,97,114,102,98,105
RADIO,Unwgt,17587,4436,582,221,361,43,17,26,110,40,70,120,42,78,127,49,78,182,73,109
,(000s),168104,45701,8055,3574,4482,1015*,429#,586#,1940,981*,959,1613,589*,1024,1520,641*,879,1967,933,1034
,Vert%,71.02,77.63,76.85,71.15,82.12,77.01,62.81,92.28,79.67,73.05,87.82,82.72,86.62,80.63,71.33,59.02,84.03,74.28,75.73,73.02
,Horz%,100,27.19,4.79,2.13,2.67,0.6,0.26,0.35,1.15,0.58,0.57,0.96,0.35,0.61,0.9,0.38,0.52,1.17,0.56,0.62
,Index,100,109,108,100,116,108,88,130,112,103,124,116,122,114,100,83,118,105,107,103
Digital Music,Unwgt,9222,2836,387,154,233,51,24,27,96,35,61,92,33,59,64,29,35,84,33,51
,(000s),91298,30136,5373,2634,2738,992*,592#,400#,1523,792*,731,985,343*,643*,832,443#,389*,1040,464*,576*
,Vert%,38.57,51.19,51.26,52.44,50.16,75.27,86.68,62.99,62.55,58.97,66.94,50.51,50.44,50.63,39.04,40.79,37.19,39.27,37.66,40.68
,Horz%,100,33.01,5.89,2.89,3,1.09,0.65,0.44,1.67,0.87,0.8,1.08,0.38,0.7,0.91,0.49,0.43,1.14,0.51,0.63
,Index,100,133,133,136,130,195,225,163,162,153,174,131,131,131,101,106,96,102,98,105
,,,,,,,,,,,,,,,,,,,,,
* Proj relatively unstable due to small base-use with caution.,,,,,,,,,,,,,,,,,,,,,
# Proj too small for reliability-shown for consistency only.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source: Simmons Fall 2015 NCS Adult Full Year Study,,,,,,,,,,,,,,,,,,,,,
Weighted by: Population,,,,,,,,,,,,,,,,,,,,,
"(C) 2015 SMRB, Inc.  All Rights Reserved",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Thursday, July 19, 2018 / 6:56 PM",,,,,,,,,,,,,,,,,,,,,
