All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser South East,Genral Movie Purchaser South East Male,Genral Movie Purchaser South East Female,Movie Purchaser South East 18-24,"Movie Purchaser South East 18-24 male
","Movie Purchaser South East 18-24 Female
",Movie Purchaser South East 25-34,Movie Purchaser South East 25-34 male,Movie Purchaser South East 25-34 Female,Movie Purchaser South East 35-44,Movie Purchaser South East 35-44 Male,Movie Purchaser South East 35-44 Female,Movie Purchaser South East 45-54,Movie Purchaser South East 45-54 Male,Movie Purchaser South East 45-54 Female,Movie Purchaser South East 55+,Movie Purchaser South East 55+ Male,Movie Purchaser South East 55+ Female
Totals,Unwgt,27446,6622,955,395,560,98,34,64,161,64,97,191,71,120,218,85,133,287,141,146
,(000s),234034,59760,11936,5411,6525,1765,834*,931,2569,1092,1477,2433,1099,1335,2134,821,1314,3034,1566,1468
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,25.53,5.1,2.31,2.79,0.75,0.36,0.4,1.1,0.47,0.63,1.04,0.47,0.57,0.91,0.35,0.56,1.3,0.67,0.63
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,6623,2746,376,170,206,63,30,33,88,41,47,88,39,49,72,28,44,65,32,33
,(000s),65410,27699,5306,2740,2566,1244,801#,443*,1456,678*,779*,1219,627*,592*,576,222#,354*,811,412*,400*
,Vert%,27.95,46.35,44.45,50.64,39.33,70.48,96.04,47.58,56.68,62.09,52.74,50.1,57.05,44.34,26.99,27.04,26.94,26.73,26.31,27.25
,Horz%,100,42.35,8.11,4.19,3.92,1.9,1.22,0.68,2.23,1.04,1.19,1.86,0.96,0.91,0.88,0.34,0.54,1.24,0.63,0.61
,Index,100,166,159,181,141,252,344,170,203,222,189,179,204,159,97,97,96,96,94,97
Digital Music,Unwgt,27446,6622,955,395,560,98,34,64,161,64,97,191,71,120,218,85,133,287,141,146
,(000s),234034,59760,11936,5411,6525,1765,834*,931,2569,1092,1477,2433,1099,1335,2134,821,1314,3034,1566,1468
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,25.53,5.1,2.31,2.79,0.75,0.36,0.4,1.1,0.47,0.63,1.04,0.47,0.57,0.91,0.35,0.56,1.3,0.67,0.63
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
TV,Unwgt,23478,5814,842,345,497,75,27,48,133,49,84,168,63,105,196,74,122,270,132,138
,(000s),207976,54297,10784,4805,5979,1461,644#,817*,2290,866*,1424,2241,1074,1167,2000,749,1251,2793,1473,1320
,Vert%,88.87,90.86,90.35,88.8,91.63,82.78,77.22,87.76,89.14,79.3,96.41,92.11,97.73,87.42,93.72,91.23,95.21,92.06,94.06,89.92
,Horz%,100,26.11,5.19,2.31,2.87,0.7,0.31,0.39,1.1,0.42,0.68,1.08,0.52,0.56,0.96,0.36,0.6,1.34,0.71,0.63
,Index,100,102,102,100,103,93,87,99,100,89,108,104,110,98,105,103,107,104,106,101
RADIO,Unwgt,19045,5069,693,273,420,69,21,48,117,40,77,148,52,96,168,64,104,191,96,95
,(000s),169892,47452,8981,3591,5390,1231,400#,831*,2083,768*,1316,1830,710*,1120,1674,575,1099,2163,1139,1024
