All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser South East,Genral Movie Purchaser South East Male,Genral Movie Purchaser South East Female,Movie Purchaser South East 18-24,"Movie Purchaser South East 18-24 male
","Movie Purchaser South East 18-24 Female
",Movie Purchaser South East 25-34,Movie Purchaser South East 25-34 male,Movie Purchaser South East 25-34 Female,Movie Purchaser South East 35-44,Movie Purchaser South East 35-44 Male,Movie Purchaser South East 35-44 Female,Movie Purchaser South East 45-54,Movie Purchaser South East 45-54 Male,Movie Purchaser South East 45-54 Female,Movie Purchaser South East 55+,Movie Purchaser South East 55+ Male,Movie Purchaser South East 55+ Female
Totals,Unwgt,23689,6041,920,394,526,77,27,50,163,72,91,191,76,115,204,74,130,285,145,140
,(000s),231709,65066,13101,6777,6324,1762,962#,800*,3125,1710,1415,2736,1505,1231,2682,1111,1571,2796,1489,1307
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,28.08,5.65,2.92,2.73,0.76,0.42,0.35,1.35,0.74,0.61,1.18,0.65,0.53,1.16,0.48,0.68,1.21,0.64,0.56
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,5867,2555,374,183,191,54,23,31,100,58,42,109,50,59,58,23,35,53,29,24
,(000s),66903,29479,6462,3995,2467,1436*,892#,544*,1997,1351*,646*,1546,913*,634*,746*,360#,386*,738*,480#,258#
,Vert%,28.87,45.31,49.32,58.95,39.01,81.5,92.72,68,63.9,79.01,45.65,56.51,60.66,51.5,27.82,32.4,24.57,26.39,32.24,19.74
,Horz%,100,44.06,9.66,5.97,3.69,2.15,1.33,0.81,2.98,2.02,0.97,2.31,1.36,0.95,1.12,0.54,0.58,1.1,0.72,0.39
,Index,100,157,171,204,135,282,321,236,221,274,158,196,210,178,96,112,85,91,112,68
TV,Unwgt,20633,5376,820,357,463,53,20,33,138,61,77,172,68,104,190,68,122,267,140,127
,(000s),209096,59689,11861,6081,5780,1298*,635#,663*,2691,1528,1163,2545,1358,1188,2626,1087,1539,2701,1474,1228
,Vert%,90.24,91.74,90.54,89.73,91.4,73.67,66.01,82.88,86.11,89.36,82.19,93.02,90.23,96.51,97.91,97.84,97.96,96.6,98.99,93.96
,Horz%,100,28.55,5.67,2.91,2.76,0.62,0.3,0.32,1.29,0.73,0.56,1.22,0.65,0.57,1.26,0.52,0.74,1.29,0.7,0.59
,Index,100,102,100,99,101,82,73,92,95,99,91,103,100,107,109,108,109,107,110,104
RADIO,Unwgt,16599,4637,685,282,403,52,19,33,121,51,70,151,58,93,160,58,102,201,96,105
,(000s),171433,51520,9972,4845,5127,1014*,414#,600*,2402,1287*,1115,2217,1202*,1015,2165,925*,1240,2176,1018,1157
,Vert%,73.99,79.18,76.12,71.49,81.07,57.55,43.04,75,76.86,75.26,78.8,81.03,79.87,82.45,80.72,83.26,78.93,77.83,68.37,88.52
,Horz%,100,30.05,5.82,2.83,2.99,0.59,0.24,0.35,1.4,0.75,0.65,1.29,0.7,0.59,1.26,0.54,0.72,1.27,0.59,0.67
,Index,100,107,103,97,110,78,58,101,104,102,107,110,108,111,109,113,107,105,92,120
MAGAZINE,Unwgt,22182,5824,880,375,505,73,26,47,157,72,85,187,73,114,188,67,121,275,137,138
,(000s),219735,62794,12520,6494,6027,1648,849#,798*,2988,1710,1278,2651,1420,1231,2586,1090,1496,2648,1424,1224
,Vert%,94.83,96.51,95.57,95.82,95.3,93.53,88.25,99.75,95.62,100,90.32,96.89,94.35,100,96.42,98.11,95.23,94.71,95.63,93.65
,Horz%,100,28.58,5.7,2.96,2.74,0.75,0.39,0.36,1.36,0.78,0.58,1.21,0.65,0.56,1.18,0.5,0.68,1.21,0.65,0.56
,Index,100,102,101,101,100,99,93,105,101,105,95,102,99,105,102,103,100,100,101,99
MOVIE GOERS,Unwgt,23689,6041,920,394,526,77,27,50,163,72,91,191,76,115,204,74,130,285,145,140
,(000s),231709,65066,13101,6777,6324,1762,962#,800*,3125,1710,1415,2736,1505,1231,2682,1111,1571,2796,1489,1307
